song,genre,kind,level,bpm,audio_dur,n_vocal_onsets,vad_active,lrc_source,lrc_match_score,lrc_n_lines,lrc_n_candidates,lrc_span_sec,lrc_tail_over_clip_sec,tempo_nR2,tempo_nR2_foreign,align_ok,align_z,align_hit_rate,align_null_rate,align_delta,align_n_lines_in,align_spliced,foreign_z,foreign_hit_rate,n_phrases,T1_head_lift,T1_head_p,T1_head_lift_foreign,T1_slide_lift,T1_break_lift,T2_pre_lift,T2_gap_lift,T2_gap_over_inside,T3_rho_syllable,T3_rho_phrase_starts,T3_rho_intensity,T3_r2_gain_syllable,T4_rho_dur_notes,T4_rho_syl_notes,C_n_detected,C_head_lift,C_head_p,C_head_slide_lift,C_head_break_lift,C_gap_lift,C_rho_phrase_start,C_rho_in_gap,C_rho_intensity,C_r2_gain
DO RORO DERODERO ON DO RORO,ゲーム＆バラエティ,vocal,13.7,190.0,106.1,162,0.802,netease,1.271,31,1,191.3,117.0,5.58,1.25,False,4.16,0.8,0.306,82.31,15,False,4.36,0.632,15,0.9686,0.61,1.178,1.8894,2.4451,0.8475,0.7891,0.7992,0.0569,-0.0299,-0.2881,0.0006,0.7042,0.5727,56,0.9296,0.895,0.5061,0.6549,0.922,0.168,-0.1713,-0.2881,0.0412
DRAGONLADY,ゲーム＆バラエティ,vocal,13.9,150.0,93.2,117,0.439,netease,0.842,33,1,266.2,173.0,0.29,1.28,True,6.2,1.0,0.222,-28.37,11,True,5.91,1.0,11,0.9091,0.76,0.8359,0.0,5.9553,0.8441,0.5002,0.499,-0.1582,-0.1416,0.5732,0.0073,0.8519,0.5092,26,1.1139,0.095,1.7713,0.0,0.9865,-0.0046,0.0072,0.5732,0.0263
Danza zandA,maimai,instrumental,13.4,129.0,117.4,150,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1.0038,0.38,0.8333,0.8951,0.9916,0.2195,-0.1145,0.0808,0.0456
Death Scythe,maimai,instrumental,13.8,182.0,125.8,135,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1.0796,0.065,1.1173,2.4685,1.0208,0.008,0.0887,0.6211,0.0223
D✪N’T ST✪P R✪CKIN’,maimai,vocal,13.8,140.0,128.6,164,0.764,netease,1.256,32,6,111.6,-1.6,1.86,0.6,True,5.75,0.71,0.258,16.27,31,True,6.12,0.889,31,0.8328,0.8,1.0736,0.5495,2.0678,1.0042,,,-0.2319,-0.1496,-0.0201,0.0318,0.9163,0.1871,46,0.976,0.515,0.8667,1.3732,1.0614,0.1243,0.2204,-0.0201,0.0177
ECHO,niconico＆ボーカロイド,vocal,13.5,140.0,131.8,165,0.821,lrclib,0.783,54,6,198.4,72.8,28.39,0.37,True,6.23,0.63,0.258,-1.61,54,True,7.28,0.723,54,0.9598,0.665,1.0335,1.1064,1.8901,0.9081,,,-0.241,-0.2868,0.7479,0.0035,0.7919,0.7024,45,1.0889,0.035,1.2748,2.1778,0.5367,0.0953,-0.5126,0.7479,0.0112
Endless World,maimai,vocal,13.0,142.0,121.7,82,0.814,netease,1.25,25,2,117.4,-4.3,6.21,0.04,True,6.43,0.609,0.141,-1.99,23,False,4.48,0.395,23,1.0855,0.32,0.8991,1.2128,0.0,0.9427,1.5119,1.4255,0.247,0.0,0.1416,0.0814,0.687,0.4727,43,0.9626,0.635,0.8109,0.5068,0.5363,-0.021,-0.461,0.1416,0.1393
FEEL ALIVE,maimai,instrumental,13.7,162.0,84.7,105,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.5818,1.0,0.6316,0.0,0.9847,-0.3124,-0.1549,0.224,0.0404
FFT,maimai,instrumental,14.0,180.0,134.7,123,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,1.0941,0.13,1.2736,0.6473,1.0724,0.0853,0.1224,0.4597,0.0124
FLOWER,ゲーム＆バラエティ,instrumental,13.9,173.0,125.2,164,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.99,0.565,1.3346,0.9639,0.9506,-0.0503,-0.1629,0.6027,0.0017
FUJIN Rumble,ゲーム＆バラエティ,instrumental,14.5,192.0,125.1,205,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.9953,0.525,0.0,1.3271,0.9626,0.0207,-0.2105,0.7631,0.0136
GOODMEN,ゲーム＆バラエティ,instrumental,13.4,175.0,128.2,363,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.9492,0.745,1.0199,0.0,1.0162,0.0057,0.0317,0.5202,0.0178
Garden Of The Dragon,ゲーム＆バラエティ,instrumental,13.5,120.0,113.8,17,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1.3764,0.01,0.3516,1.4063,0.9586,0.3918,-0.3612,0.3668,0.0908
Get Happy,maimai,instrumental,13.8,150.0,123.6,52,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1.0995,0.165,0.6828,0.7315,0.9713,0.2222,-0.2317,-0.165,0.0648
Got more raves？,ゲーム＆バラエティ,instrumental,14.1,266.0,124.5,117,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0.9091,0.92,1.0124,1.2059,0.9556,0.0762,-0.1806,0.3924,0.0038
HERA,maimai,instrumental,14.3,185.0,140.6,161,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.0425,0.265,1.3469,1.0278,1.0835,-0.0008,0.2402,0.6019,0.0182
HIMITSUスパーク,POPS＆アニメ,vocal,13.2,156.0,138.2,256,0.664,lrclib,0.846,32,2,202.3,64.9,4.77,0.52,True,5.91,1.0,0.375,-2.51,21,True,4.15,0.654,21,1.3029,0.075,1.0027,2.3061,0.0,1.3029,,,-0.0322,0.1264,0.2414,0.0028,0.8997,0.2763,28,1.0611,0.295,0.6842,0.0,1.1239,-0.0336,0.1586,0.2414,0.0695
Hyper Active,maimai,instrumental,13.9,160.0,142.1,292,0.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1.0422,0.365,0.9877,2.1758,1.1897,0.0385,0.2892,0.1682,0.1074
Imperishable Night 2006 (2016 Refine),東方Project,instrumental,13.8,161.0,135.1,328,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1.0977,0.04,1.1097,1.7933,1.008,0.1132,-0.0635,0.5472,0.0214
Infantoon Fantasy,オンゲキ＆CHUNITHM,instrumental,13.8,185.0,147.6,100,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,1.0434,0.245,1.1508,1.2809,0.8861,0.2185,-0.4426,0.628,0.0049
JACKY [Remix],ゲーム＆バラエティ,instrumental,13.7,135.0,91.4,116,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.8805,0.925,0.5343,0.4643,0.9693,0.2051,-0.33,0.5199,0.0299
Jack-the-Ripper◆,ゲーム＆バラエティ,instrumental,14.1,210.0,143.4,59,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.9499,0.72,1.0879,2.6222,1.0092,-0.1062,0.0569,0.265,0.0142
Jumble Rumble,maimai,instrumental,14.0,185.0,131.4,132,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.9889,0.525,0.5831,2.2015,0.9664,0.0234,-0.0159,0.2626,0.0344
KISS CANDY FLAVOR,ゲーム＆バラエティ,vocal,13.4,146.0,139.1,221,0.836,netease,0.776,43,2,207.9,68.9,1.23,0.04,True,6.39,0.893,0.327,-46.5,28,True,4.17,0.657,28,0.9803,0.57,1.1762,0.6984,0.0,1.0986,,,0.312,0.26,0.261,0.0351,0.7656,0.3843,33,1.0212,0.42,1.0315,1.4199,0.9595,0.0451,-0.0947,0.261,0.0
Kattobi KEIKYU Rider,オンゲキ＆CHUNITHM,vocal,13.7,220.0,148.9,401,0.925,netease,0.865,79,2,164.6,15.7,46.77,0.3,False,3.66,0.746,0.508,-29.16,59,False,4.52,0.96,59,1.0552,0.35,1.0313,1.2564,0.8304,0.7354,,,0.1768,0.116,0.2323,0.0039,0.6786,0.4225,67,1.0606,0.28,0.9736,1.95,0.7179,-0.0779,-0.1398,0.2323,0.0034
L4TS2018 (feat. あひる & KTA),ゲーム＆バラエティ,vocal,13.3,190.0,114.0,161,0.873,netease,0.69,58,2,251.9,139.2,5.36,3.84,False,3.95,0.63,0.286,115.21,27,False,7.1,0.74,28,1.1077,0.24,1.1934,1.055,0.7359,1.0956,,,-0.0793,0.2221,0.5117,0.0025,0.5501,0.3693,52,1.1075,0.145,0.9376,1.4715,0.8022,0.2039,-0.2128,0.5117,0.0013
Like the Wind [Reborn],ゲーム＆バラエティ,instrumental,14.0,200.0,112.5,102,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.8504,0.94,0.5499,1.6039,0.9614,-0.0909,-0.0877,0.4893,0.009
MYTHOS,maimai,instrumental,14.4,158.0,122.6,61,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.8381,0.93,0.4106,2.0532,1.1855,-0.1453,0.3978,0.3697,0.0676
Magical Flavor,maimai,vocal,13.3,98.0,129.2,216,0.675,netease,0.781,28,2,107.4,-21.8,11.8,0.37,True,5.6,0.875,0.335,-4.43,24,True,3.9,0.619,24,1.1421,0.125,1.033,1.2466,0.0,1.0183,1.0889,1.0677,0.1292,0.1972,0.3179,0.0387,0.8358,0.5196,20,0.7596,0.975,1.088,1.3988,1.0095,-0.575,-0.0832,0.3179,0.2092
Magical Sound Shower,niconico＆ボーカロイド,vocal,13.4,120.0,147.8,91,0.435,netease,0.865,30,1,154.0,58.2,15.28,0.04,False,5.95,1.0,0.124,-81.31,5,False,4.61,1.0,5,,,,,,,,,,,,,,,25,1.2858,0.01,1.3023,0.0,1.0452,0.0869,0.2011,0.1995,0.2967
Mare Maris,maimai,instrumental,13.9,150.0,136.0,262,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.9793,0.675,0.9794,1.6936,0.9847,-0.2387,0.1131,0.3743,0.0384
Maxi,ゲーム＆バラエティ,vocal,14.0,180.0,118.0,216,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.9201,0.87,0.4771,0.9241,0.9088,-0.1141,-0.0726,0.5454,0.0118
Money Money,東方Project,vocal,13.2,145.0,139.3,202,0.794,netease,0.842,32,2,228.9,89.6,1.21,0.39,True,6.53,0.885,0.298,-48.65,26,True,5.04,0.875,26,0.9636,0.595,1.1452,0.7597,1.1673,0.7067,1.8052,1.7153,-0.1127,-0.3425,0.2554,0.0148,0.8335,0.5436,49,1.0208,0.42,0.7835,0.8918,0.9852,-0.1174,-0.0434,0.2554,0.0044
My Dearest Song,オンゲキ＆CHUNITHM,vocal,13.3,145.0,148.1,142,0.601,netease,0.853,26,2,186.7,38.6,18.58,0.96,True,8.47,1.0,0.201,10.48,18,True,4.89,0.609,18,1.2459,0.17,1.0043,2.6103,2.4612,0.7733,,,-0.0735,-0.0931,0.5503,0.0254,0.7663,0.1681,30,1.0546,0.35,1.2288,2.4828,0.9716,0.2287,-0.074,0.5503,0.0506
Mysterious Destiny,ゲーム＆バラエティ,vocal,13.3,140.0,114.9,107,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.9936,0.525,0.9989,0.0,1.0872,-0.0777,0.1734,0.5406,0.0266
Nerverakes,maimai,instrumental,14.1,140.0,83.7,115,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.9643,0.72,0.5556,0.6061,1.0195,0.1966,0.11,0.2764,0.0038
Night Fly,maimai,vocal,13.2,127.0,85.5,105,0.918,netease,1.23,24,4,79.5,-4.5,11.81,2.97,True,6.6,0.833,0.25,-2.79,24,False,3.87,1.0,24,1.0949,0.225,,1.3501,0.0,1.1706,,,0.1475,0.1666,0.4308,0.0631,0.5997,0.2802,26,0.9657,0.66,0.9587,0.0,1.2067,0.1207,-0.1349,0.4308,0.0194
Nitrous Fury,maimai,instrumental,14.0,144.0,115.7,192,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.0856,0.02,0.0,0.0,0.9251,-0.0307,-0.4485,0.5224,0.0544
Paranoia,東方Project,vocal,13.6,150.0,139.8,213,0.493,netease,1.23,39,6,267.9,128.1,15.14,0.02,True,5.85,1.0,0.304,-84.23,15,True,3.85,0.682,15,1.0128,0.53,0.8302,0.8861,1.1076,1.1618,1.7588,1.5439,0.1739,0.165,0.0564,0.0182,0.8673,-0.0448,42,0.9374,0.775,0.6468,2.066,1.1336,-0.1437,0.4569,0.0564,0.2279
Party 4U ”holy nite mix”,ゲーム＆バラエティ,instrumental,13.7,159.0,104.9,46,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1.3087,0.015,3.0222,4.1119,1.025,0.2819,-0.0459,0.2569,0.0554
Reach For The Stars,ゲーム＆バラエティ,vocal,13.9,203.0,94.0,104,0.711,netease,1.261,63,6,225.7,146.5,10.62,0.36,True,7.17,0.7,0.226,-1.15,40,True,3.93,0.5,40,1.3238,0.0,1.1686,1.4356,0.0,1.0515,,,0.378,0.2211,0.5947,0.0766,0.5594,0.5613,41,1.3289,0.0,1.3265,1.0527,0.638,0.3166,-0.354,0.5947,0.1168
Rodeo Machine,POPS＆アニメ,vocal,13.8,115.0,134.0,130,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.6021,0.99,0.605,2.0134,0.8932,-0.0937,-0.2253,0.6499,0.0363
Scars of FAUNA,ゲーム＆バラエティ,instrumental,13.8,165.0,122.2,189,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1.1989,0.025,1.5408,0.0,1.0104,0.0665,-0.0304,0.6203,0.0429
Signature,maimai,instrumental,13.5,128.0,138.8,123,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1.1286,0.025,1.9931,1.3862,1.0424,0.1941,0.0923,0.7581,0.0067
Space Harrier Main Theme [Reborn],ゲーム＆バラエティ,instrumental,13.6,125.0,115.5,201,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.989,0.575,0.0,0.9366,0.9672,-0.0398,-0.1712,0.3014,0.1494
Still,オンゲキ＆CHUNITHM,vocal,13.4,176.0,147.3,162,0.632,netease,1.2,43,3,204.5,57.3,0.1,1.53,True,6.5,0.933,0.229,-31.25,15,True,6.62,1.0,15,1.0154,0.45,0.7787,1.4614,2.4145,0.9454,,,0.0524,0.0021,0.3064,0.0012,0.6637,0.4105,38,1.0285,0.395,1.3539,0.9211,1.0925,0.1611,0.1095,0.3064,0.0323
Streak,maimai,instrumental,13.7,150.0,83.8,151,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.9121,0.72,1.1482,1.4558,1.2436,0.2581,0.2188,0.5248,0.0041
TRUST,オンゲキ＆CHUNITHM,vocal,13.1,190.0,132.6,163,0.673,netease,0.8,33,2,147.1,14.5,0.48,0.13,False,3.85,0.548,0.249,-4.53,31,False,6.01,0.516,31,1.009,0.44,1.0069,0.866,1.6418,0.9369,,,-0.0002,0.0571,0.4556,0.0004,0.7113,-0.0785,39,1.0265,0.36,0.8543,1.2148,0.9222,0.0108,-0.1608,0.4556,0.0118
ULTRA B+K,ゲーム＆バラエティ,instrumental,13.9,175.0,125.0,89,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1.1316,0.065,1.3623,2.5731,1.1167,-0.1529,0.1627,0.4161,0.0771
Urban Crusher [Remix],ゲーム＆バラエティ,instrumental,13.4,155.0,107.6,15,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7311,0.97,0.696,1.9334,0.8646,-0.2691,-0.4501,-0.1147,0.2509
We Gonna Journey,オンゲキ＆CHUNITHM,vocal,13.9,160.0,136.0,209,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.8891,0.965,1.0761,0.3874,0.8666,-0.1066,-0.2778,0.5494,0.0093
White Traveling Girl,東方Project,vocal,13.4,154.0,138.1,248,0.804,netease,0.865,33,1,204.8,66.7,4.98,5.38,True,5.29,0.895,0.326,-2.57,19,True,4.0,0.846,19,1.1204,0.23,1.1837,0.8669,0.6098,0.6151,1.3608,1.4367,-0.2086,-0.207,0.0595,0.0516,0.9065,0.8419,72,1.0643,0.145,1.3533,0.6565,1.1894,0.1638,0.2957,0.0595,0.1623
World Vanquisher,オンゲキ＆CHUNITHM,instrumental,14.3,170.0,146.0,180,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1.1175,0.095,1.5196,1.6716,1.0196,-0.0652,0.0167,0.4372,0.0258
Xevel,オンゲキ＆CHUNITHM,instrumental,14.3,176.0,139.6,161,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1.0679,0.115,1.0279,1.1482,0.9167,0.2529,-0.219,0.2439,0.0601
YU-MU,東方Project,vocal,13.2,160.0,109.5,125,0.556,lrclib,1.183,44,6,196.2,109.8,4.58,0.06,True,6.32,0.636,0.233,3.27,44,True,6.46,0.769,44,0.9283,0.79,0.862,0.9455,0.6855,1.0473,,,-0.0329,-0.0668,-0.0293,0.0403,0.6215,0.5253,26,0.9149,0.81,0.9319,0.0,0.992,-0.1255,0.0212,-0.0293,0.0673
awake,ゲーム＆バラエティ,vocal,13.2,170.0,92.2,140,0.733,lrclib,0.8,42,6,210.3,140.0,4.22,0.52,False,4.74,1.0,0.308,-28.08,10,False,3.87,0.786,10,1.0861,0.34,1.2991,2.0631,0.0,1.0861,,,0.1206,-0.0731,0.0323,0.0057,0.7439,0.0495,35,0.9583,0.655,1.0113,0.0,1.2427,-0.2429,0.299,0.0323,0.2149
connecting with you,maimai,vocal,13.2,155.0,150.5,178,0.748,netease,1.263,33,2,129.2,-19.1,2.35,2.42,False,4.42,0.706,0.245,51.12,17,False,6.06,0.842,17,1.2483,0.045,0.867,1.7387,1.2281,1.0959,,,0.0506,0.0825,0.5937,0.003,0.7485,0.4954,63,1.0446,0.25,0.8823,0.6712,1.0806,-0.1353,0.1641,0.5937,0.0157
maiム・maiム feat.週刊少年マガジン,maimai,vocal,13.2,140.0,132.0,195,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.8685,0.93,0.972,0.8343,0.3602,-0.1037,-0.1825,0.061,0.0274
sweet little sister,東方Project,vocal,13.4,168.0,129.2,152,0.761,lrclib,0.863,51,6,173.3,56.1,0.18,0.37,True,6.0,0.658,0.241,-2.33,38,True,5.41,0.679,38,0.9717,0.62,1.128,0.9562,0.6056,0.9864,,,0.1168,0.0975,0.3577,0.0068,0.674,0.1508,46,0.9903,0.495,1.3498,0.0,1.0218,-0.0479,-0.0335,0.3577,0.039
taboo tears you up,東方Project,vocal,13.4,180.0,142.3,363,0.839,netease,1.259,42,2,148.7,6.4,18.09,2.46,False,3.87,0.816,0.502,7.13,38,False,3.63,0.833,38,1.0695,0.285,1.0807,0.7885,1.8895,0.8512,0.9815,0.9529,0.0643,0.0456,0.3693,0.0,0.3647,0.0502,45,1.0075,0.42,1.0438,1.5008,1.1747,-0.0327,0.1773,0.3693,0.033
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,東方Project,vocal,13.4,168.0,147.5,376,0.889,lrclib,1.273,115,5,269.5,124.5,2.9,1.41,False,4.81,0.889,0.488,180.75,36,False,4.55,0.926,36,1.0781,0.26,1.1814,1.4202,0.8146,0.9669,,,-0.0625,-0.1206,0.3906,0.0006,0.8377,0.5169,50,0.9563,0.675,0.8668,0.8774,1.3284,-0.0258,0.0428,0.3906,0.0354
おこちゃま戦争,niconico＆ボーカロイド,vocal,13.3,175.0,122.0,153,0.706,lrclib,1.222,33,6,186.9,76.8,11.95,0.02,True,6.18,0.889,0.255,67.06,18,True,3.42,0.536,18,1.03,0.49,0.9105,0.9528,2.5408,0.9013,1.1856,1.2405,-0.1878,-0.0192,0.4777,0.0036,0.7587,0.0786,56,1.0843,0.115,1.0719,0.8167,1.0584,0.1151,0.0682,0.4777,0.0215
おちゃめ機能,niconico＆ボーカロイド,vocal,13.6,150.0,93.2,159,0.828,lrclib,0.812,85,6,237.5,150.7,8.51,15.14,True,5.91,0.727,0.348,-12.16,55,True,6.57,1.0,55,0.9976,0.51,1.177,1.4815,0.6349,1.0866,,,0.1192,-0.053,0.0309,0.0057,0.8361,0.415,33,1.0834,0.095,3.0034,0.4827,0.8767,-0.1833,-0.2408,0.0309,0.0841
しねばいいのに,niconico＆ボーカロイド,vocal,13.0,138.0,123.5,192,0.756,lrclib,1.222,62,3,293.8,172.4,5.06,0.77,True,5.94,1.0,0.325,-64.28,17,True,7.26,0.792,17,0.8224,0.47,0.8466,1.4544,1.2605,0.3289,,,-0.0516,-0.2487,0.5142,0.0736,0.57,0.1396,20,1.3068,0.065,0.6147,3.1965,0.7696,0.0576,-0.0662,0.5142,0.0581
すーぱーぬこになりたい,niconico＆ボーカロイド,vocal,13.7,194.0,126.7,184,0.724,lrclib,0.846,85,6,209.2,83.6,1.46,1.34,True,8.21,0.694,0.29,0.43,85,True,5.97,0.793,85,0.9443,0.775,0.8496,1.0065,0.7307,0.9228,0.9244,0.9324,-0.3023,-0.3224,0.0624,0.0381,0.913,0.8244,51,0.8796,0.95,1.199,0.8511,1.1443,-0.2982,0.2869,0.0624,0.1428
