scope,song,genre,level,bpm,n_bars,coverage_mean,extra_ratio_mean,physical_hardness_mean,hand_difficulty_mean,intensity_mean,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_2+1,cfg_3+1,cfg_CYCLES型星星,cfg_N+1,cfg_一笔画,cfg_三叉戟,cfg_三角交互,cfg_二连扫,cfg_井字星星,cfg_侧边双押,cfg_出张,cfg_单双/双单,cfg_双压连续拍滑,cfg_双押纵,cfg_反手,cfg_同起点拍滑,cfg_大宇宙,cfg_大风车,cfg_夹键拍滑,cfg_如龙段,cfg_子弹,cfg_定拍,cfg_拆弹,cfg_挥手段,cfg_散点,cfg_普通交互,cfg_楼梯交互,cfg_死镰段,cfg_穿心,cfg_纵连,cfg_绕圈星星,cfg_跳拍,cfg_轴交互,cfg_连续双押,cfg_连续拍滑,cfg_逆楼梯/方向盘,cfg_错位,cfg_长纵连,cfg_鼓动段
song,Kattobi KEIKYU Rider,オンゲキ＆CHUNITHM,13.7,220.0,132,0.5177,0.081,0.4882,0.2717,0.6205,20,36,22,4,13,1,0,0,2,0,17,0,0,0,0,2,6,17,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,1,4,2,16,13,0,9,0,0
song,L4TS2018 (feat. あひる & KTA),ゲーム＆バラエティ,13.3,190.0,82,0.6076,0.0481,0.4332,0.2865,0.8032,18,12,5,2,8,2,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,15,0,9,7,2,0,0,0
song,Like the Wind [Reborn],ゲーム＆バラエティ,14.0,200.0,87,0.789,0.1133,0.5904,0.4108,0.7845,49,6,4,5,2,7,0,0,0,0,3,0,0,13,0,12,0,11,0,0,1,0,0,2,2,0,11,0,0,0,1,3,0,0,0,0,0,13,0,16,8,0,11,0,4
song,MYTHOS,maimai,14.4,158.0,68,0.6013,0.1456,0.6278,0.3019,0.831,23,8,3,1,14,6,0,0,5,0,10,2,5,4,1,0,0,1,0,1,2,0,4,0,2,0,2,0,0,2,4,3,1,0,0,1,0,9,12,10,4,0,6,0,0
song,Magical Flavor,maimai,13.3,98.0,49,0.6619,0.0542,0.5493,0.2846,0.7963,15,14,1,2,0,0,0,0,0,0,3,0,0,0,0,0,2,14,0,0,0,8,7,0,0,0,16,0,0,0,0,0,0,0,0,1,0,16,0,23,17,0,17,0,13
song,Magical Sound Shower,niconico＆ボーカロイド,13.4,120.0,68,0.7734,0.0265,0.6336,0.3105,0.673,37,7,1,0,6,0,0,0,1,3,4,0,0,0,0,2,3,9,0,4,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,14,5,29,2,16,0,0,15,0,0
song,Mare Maris,maimai,13.9,150.0,80,0.7205,0.1158,0.4705,0.28,0.7426,32,15,5,1,0,4,0,0,2,0,5,4,5,7,1,3,2,9,2,0,0,0,2,0,0,0,7,0,0,4,0,4,0,0,0,0,0,13,2,12,7,0,8,0,0
song,Maxi,ゲーム＆バラエティ,14.0,180.0,84,0.7351,0.1277,0.5125,0.4059,0.7168,28,13,1,4,6,12,0,0,0,0,4,0,1,5,1,0,1,30,0,6,2,0,0,0,0,0,8,0,0,0,0,1,1,0,0,1,0,17,2,27,0,0,4,1,0
song,Money Money,東方Project,13.2,145.0,89,0.5825,0.0771,0.5842,0.3345,0.6837,21,26,7,3,8,1,0,0,0,0,2,0,0,0,1,1,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,11,2,22,10,0,5,0,0
song,My Dearest Song,オンゲキ＆CHUNITHM,13.3,145.0,84,0.6623,0.1607,0.5136,0.2554,0.7697,30,9,5,10,3,6,0,0,1,0,4,2,3,0,1,3,6,6,0,0,0,0,3,0,0,0,12,0,0,2,0,3,1,0,0,0,7,3,0,19,10,0,7,0,4
song,Mysterious Destiny,ゲーム＆バラエティ,13.3,140.0,63,0.2931,0.0093,0.634,0.6113,0.8628,1,10,35,0,2,3,0,0,0,0,31,0,0,8,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,19,0,0,0,5
song,Nerverakes,maimai,14.1,140.0,45,0.7947,0.1904,0.5514,0.3529,0.8385,23,4,0,2,0,8,3,0,0,0,2,0,7,2,0,1,0,0,0,1,3,0,4,0,0,0,17,0,0,0,2,0,2,0,0,3,0,21,3,4,0,0,1,0,0
song,Night Fly,maimai,13.2,127.0,42,0.4464,0.0799,0.462,0.3585,0.7377,3,11,8,2,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,9,9,0,12,0,1,12,0,2,0,6
song,Nitrous Fury,maimai,14.0,144.0,63,0.8499,0.2508,0.5458,0.3178,0.9041,27,2,0,1,0,10,0,5,0,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,16,0,26,7,0,0,0,0,0,0
song,Paranoia,東方Project,13.6,150.0,83,0.6904,0.031,0.5244,0.3778,0.7603,34,20,5,2,2,1,8,0,1,3,5,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,2,2,13,0,27,14,0,8,0,0
song,Party 4U ”holy nite mix”,ゲーム＆バラエティ,13.7,159.0,59,0.7935,0.1022,0.4882,0.401,0.8912,30,2,1,2,1,4,0,0,1,9,1,7,2,2,1,0,0,14,0,1,0,0,0,0,0,0,17,0,0,4,0,6,0,0,0,1,12,22,0,14,0,3,1,0,0
song,Reach For The Stars,ゲーム＆バラエティ,13.9,203.0,69,0.6981,0.157,0.3464,0.2347,0.8155,34,4,5,7,4,5,0,0,0,0,0,1,0,0,2,0,1,7,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,3,0,15,7,0,2,0,7
song,Rodeo Machine,POPS＆アニメ,13.8,115.0,56,0.3661,0.067,0.4933,0.375,0.8954,0,8,28,4,4,5,0,0,1,0,11,17,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,4,0,12,0,0,0,8
song,Scars of FAUNA,ゲーム＆バラエティ,13.8,165.0,81,0.7179,0.1039,0.5209,0.2487,0.7209,29,14,2,1,1,7,0,0,1,0,18,0,0,0,1,2,0,6,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,5,0,39,0,0,17,11,0
song,Signature,maimai,13.5,128.0,70,0.8208,0.1109,0.5725,0.4823,0.7493,36,10,2,2,6,3,6,0,0,0,2,0,0,1,0,0,0,21,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,10,0,5,4,0,12,0,0
song,Space Harrier Main Theme [Reborn],ゲーム＆バラエティ,13.6,125.0,58,0.5779,0.1573,0.4726,0.462,0.6904,7,16,3,4,7,5,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,1,0,0,0,22,0,17,0,0,0,0,0,0,0
song,Still,オンゲキ＆CHUNITHM,13.4,176.0,102,0.6674,0.1781,0.4396,0.5085,0.7773,26,13,6,7,1,8,0,0,3,0,5,0,0,4,4,2,3,8,2,0,0,0,2,0,0,0,14,0,0,0,2,0,0,0,0,1,5,10,0,23,11,0,6,0,0
song,Streak,maimai,13.7,150.0,48,0.4672,0.0605,0.4831,0.4342,0.7674,6,7,12,0,5,0,0,0,0,0,16,0,0,0,0,0,6,4,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,6,5,4,1,2,2,0,0,0,0
song,TRUST,オンゲキ＆CHUNITHM,13.1,190.0,95,0.6947,0.1349,0.4682,0.1697,0.7791,29,23,0,6,2,6,0,0,0,0,12,0,0,1,0,0,2,14,0,2,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,2,7,1,5,27,7,0,12,4,0
song,ULTRA B+K,ゲーム＆バラエティ,13.9,175.0,89,0.6089,0.0503,0.5711,0.4607,0.5846,20,32,4,2,1,3,0,0,0,0,5,3,0,0,2,4,1,13,1,0,2,0,0,0,3,0,32,0,0,0,0,0,0,0,0,2,0,10,0,26,3,0,8,0,3
song,Urban Crusher [Remix],ゲーム＆バラエティ,13.4,155.0,66,0.6693,0.1259,0.5011,0.3023,0.7028,22,16,5,1,2,1,6,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,23,0,4,4,0,3,0,0
song,We Gonna Journey,オンゲキ＆CHUNITHM,13.9,160.0,85,0.7161,0.0977,0.5565,0.185,0.7433,34,11,7,6,4,4,0,0,3,0,7,0,3,1,2,0,1,3,4,0,2,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,21,9,19,12,0,12,0,0
song,White Traveling Girl,東方Project,13.4,154.0,85,0.6786,0.0327,0.479,0.1968,0.7522,32,15,8,0,4,1,0,0,1,0,7,0,1,13,2,0,0,4,1,2,0,0,0,0,4,0,15,0,0,0,0,0,0,4,0,0,3,22,0,20,4,0,6,0,4
song,World Vanquisher,オンゲキ＆CHUNITHM,14.3,170.0,100,0.6713,0.3355,0.5306,0.2655,0.6707,11,12,2,31,8,26,0,0,0,0,3,2,5,9,1,0,4,4,0,4,1,0,0,0,0,0,20,0,0,6,5,3,2,4,0,0,3,23,0,10,9,0,9,0,0
song,Xevel,オンゲキ＆CHUNITHM,14.3,176.0,95,0.7656,0.1385,0.6289,0.138,0.8285,46,2,2,4,4,11,0,0,0,0,0,0,12,10,6,0,1,10,0,0,2,8,4,2,18,0,3,0,0,0,3,13,7,4,0,0,0,10,6,21,18,3,9,0,13
song,YU-MU,東方Project,13.2,160.0,66,0.583,0.3222,0.7137,0.3294,0.7929,12,9,3,22,0,2,0,0,0,0,9,0,1,0,3,0,0,7,0,0,1,0,0,0,0,4,7,0,0,0,0,3,0,0,0,1,0,2,2,18,3,0,0,0,0
song,awake,ゲーム＆バラエティ,13.2,170.0,54,0.8031,0.0203,0.6319,0.1778,0.834,29,5,1,0,3,2,0,0,0,0,2,0,0,0,2,2,0,8,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,2,16,0,4,2,0,8,0,0
song,connecting with you,maimai,13.2,155.0,91,0.6876,0.1128,0.5914,0.1466,0.7233,29,17,2,6,2,4,4,0,0,0,1,0,12,0,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,1,5,0,18,3,0,0,0,0
song,maiム・maiム feat.週刊少年マガジン,maimai,13.2,140.0,72,0.7012,0.0468,0.6256,0.2598,0.7309,24,16,4,2,0,3,0,0,0,0,12,0,0,1,5,4,15,16,0,3,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,3,11,6,0,14,13,1,0,0,2
song,sweet little sister,東方Project,13.4,168.0,87,0.6291,0.0268,0.5543,0.2962,0.6723,20,31,4,0,2,6,0,0,0,0,0,0,4,10,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,16,11,0,6,0,6
song,taboo tears you up,東方Project,13.4,180.0,103,0.707,0.1802,0.4642,0.4289,0.6353,42,14,0,14,6,8,0,0,4,0,14,0,7,6,4,0,3,2,0,1,0,0,0,0,0,0,14,0,0,0,1,7,4,0,0,4,9,2,2,28,8,0,7,0,6
song,【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,東方Project,13.4,168.0,97,0.6276,0.1273,0.4034,0.5003,0.7616,23,12,9,7,5,3,0,0,3,0,12,1,1,1,0,0,1,10,1,0,2,0,0,0,0,0,17,0,0,0,0,2,0,0,0,2,3,5,3,10,4,0,2,2,0
song,おこちゃま戦争,niconico＆ボーカロイド,13.3,175.0,86,0.7738,0.1138,0.5105,0.3306,0.7376,46,7,0,3,1,4,0,0,0,0,0,0,0,6,0,2,0,10,0,0,0,0,0,0,6,0,14,0,0,0,0,2,0,0,0,5,0,9,0,19,10,0,2,0,0
song,おちゃめ機能,niconico＆ボーカロイド,13.6,150.0,56,0.7977,0.0787,0.4057,0.4101,0.7108,31,8,2,0,0,1,0,0,0,0,0,0,3,3,0,1,0,0,0,2,3,0,3,0,0,0,21,0,0,0,2,0,1,0,0,4,0,8,2,9,0,0,0,0,0
song,しねばいいのに,niconico＆ボーカロイド,13.0,138.0,64,0.3916,0.0349,0.5971,0.4012,0.8485,2,8,23,1,5,6,0,0,0,0,0,0,0,1,0,0,0,6,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,4,0,0,23,0,4,0,0,0
song,すーぱーぬこになりたい,niconico＆ボーカロイド,13.7,194.0,96,0.7492,0.1423,0.6131,0.4761,0.7571,39,16,3,3,0,10,0,0,0,0,8,0,0,1,7,0,8,2,0,6,0,0,0,0,10,0,15,0,2,0,0,2,0,0,0,0,4,12,0,38,16,0,6,0,2
song,どういうことなの！？,niconico＆ボーカロイド,13.4,175.0,84,0.7613,0.1351,0.5166,0.4532,0.7215,32,9,2,5,2,10,0,0,2,0,8,0,0,5,2,0,1,16,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,11,4,12,0,6,0,0,2,0,0
song,どうしてこうなった,niconico＆ボーカロイド,13.7,180.0,101,0.7818,0.0395,0.4543,0.3558,0.7486,59,8,3,0,6,0,0,0,0,0,2,1,5,4,1,0,1,8,0,3,1,0,6,0,5,0,23,0,0,0,0,2,0,0,0,2,2,13,2,24,6,0,5,0,2
song,にじよめちゃん体操第一億,POPS＆アニメ,13.8,120.0,48,0.634,0.1193,0.4893,0.2528,0.7964,12,12,4,6,0,1,0,0,4,0,13,7,0,2,1,0,3,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,4,3,0,4,0,0
song,ぽっぴっぽー,niconico＆ボーカロイド,13.3,150.0,61,0.778,0.0136,0.455,0.4595,0.4724,30,5,0,0,0,2,0,0,0,0,1,0,1,6,0,4,0,2,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,4,0,15,0,11,2,0,0,0,0
song,アンハッピーリフレイン,niconico＆ボーカロイド,13.4,205.0,94,0.7126,0.1318,0.4632,0.2873,0.8502,40,11,3,9,2,4,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,11,0,0,1,0,1,0,0,0,7,2,24,1,23,0,0,17,0,0
song,アージェントシンメトリー,maimai,13.5,172.0,88,0.6291,0.1496,0.6629,0.3854,0.7871,19,18,3,2,10,5,0,0,4,0,14,0,1,5,0,5,0,4,0,0,0,0,0,0,0,0,12,0,0,0,2,4,1,0,0,0,1,15,0,35,0,0,0,0,0
song,ウサテイ,東方Project,14.0,190.0,81,0.7587,0.0801,0.4425,0.5107,0.8235,43,7,4,0,1,2,0,0,0,0,6,0,0,12,9,0,4,9,0,0,7,0,0,0,2,0,35,0,0,0,4,0,0,0,0,4,6,10,0,0,6,0,0,0,0
song,ウッーウッーウマウマ(ﾟ∀ﾟ),POPS＆アニメ,13.4,164.73,65,0.7077,0.0463,0.6648,0.299,0.7715,23,14,0,1,1,3,0,0,0,0,0,0,0,0,0,9,0,20,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,15,0,32,0,0,0,0,0
