scope,song,genre,song_kind,level,bpm,n_bars,function,label_ja,skeleton_top,coverage_mean,coverage_ctrl_mean,extra_ratio_mean,rest_beats_mean,hardness_mean,intensity_mean,notes_per_bar,pool_per_bar,rho_I_hardness,rho_I_density,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_错位,cfg_普通交互,cfg_纵连,cfg_长纵连,cfg_三角交互,cfg_轴交互,cfg_楼梯交互,cfg_逆楼梯/方向盘,cfg_大宇宙,cfg_散点,cfg_跳拍,cfg_定拍,cfg_子弹,cfg_单双/双单,cfg_连续双押,cfg_双押纵,cfg_侧边双押
song,Like the Wind [Reborn],ゲーム＆バラエティ,instrumental,14.0,200.0,88,,,drums,0.7801,0.4178,0.1133,0.656,0.5569,0.7827,7.716,3.943,0.4126,0.4895,0.5568,0.0795,0.0568,0.0568,0.0341,0.2159,0.1818,0.2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477,0.0,0.1477,0.125,0.1818,0.0,0.1364
song,MYTHOS,maimai,instrumental,14.4,158.0,76,,,drums,0.5841,0.4917,0.1456,1.191,0.5668,0.7687,9.671,5.921,0.2401,0.3697,0.3026,0.0395,0.0395,0.0132,0.2895,0.3158,0.1579,0.3816,0.0658,0.0,0.0658,0.1184,0.0921,0.0658,0.0526,0.0263,0.1184,0.0,0.0395,0.0132,0.1316,0.0132,0.0
song,Magical Flavor,maimai,vocal,13.3,98.0,49,,,drums,0.6619,0.2151,0.0542,0.803,0.6003,0.7963,12.102,9.0,0.5357,0.3168,0.3061,0.3061,0.0204,0.0408,0.0,0.3265,0.6531,0.0,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061,0.0,0.3265,0.4694,0.5102,0.0,0.0
song,Magical Sound Shower,niconico＆ボーカロイド,vocal,13.4,120.0,71,,,bass,0.7507,0.3877,0.0265,0.593,0.6105,0.6623,9.324,6.225,0.5572,0.1997,0.5211,0.0141,0.0141,0.0,0.1268,0.3239,0.4789,0.0704,0.1972,0.0,0.0,0.0,0.0282,0.0,0.0282,0.0,0.4085,0.0,0.507,0.1268,0.2254,0.0563,0.0282
song,Mare Maris,maimai,instrumental,13.9,150.0,80,,,drums,0.7205,0.3494,0.1158,0.916,0.5731,0.7426,10.7,6.138,0.3987,0.3739,0.4,0.1125,0.0625,0.0125,0.0,0.4125,0.275,0.2375,0.0,0.0,0.0625,0.0125,0.025,0.0,0.0,0.0,0.1625,0.0,0.2,0.2,0.1875,0.025,0.0375
song,Maxi,ゲーム＆バラエティ,vocal,14.0,180.0,84,,,drums,0.7351,0.4755,0.1277,0.881,0.5832,0.7168,10.881,6.202,0.045,0.5451,0.3333,0.131,0.0119,0.0476,0.0714,0.4048,0.2619,0.0952,0.0119,0.0119,0.0119,0.0,0.0119,0.0,0.0238,0.0,0.2024,0.1786,0.119,0.3095,0.4048,0.0833,0.0
song,Money Money,東方Project,vocal,13.2,145.0,89,,,drums,0.5825,0.2569,0.0771,1.233,0.6013,0.6837,8.371,5.888,0.1889,0.2558,0.236,0.3258,0.0899,0.0337,0.0899,0.2247,0.0674,0.0449,0.0,0.0,0.0,0.0,0.0112,0.0,0.0225,0.0,0.1124,0.0,0.0899,0.3371,0.4831,0.0,0.0112
song,My Dearest Song,オンゲキ＆CHUNITHM,vocal,13.3,145.0,85,,,drums,0.6623,0.4927,0.1607,0.662,0.4771,0.7616,9.435,4.376,0.6789,0.5503,0.3529,0.0471,0.1176,0.1176,0.0471,0.3176,0.1529,0.1529,0.0,0.0,0.0353,0.0,0.0118,0.0118,0.0118,0.0,0.0353,0.0,0.1412,0.1647,0.3529,0.0471,0.0353
song,Mysterious Destiny,ゲーム＆バラエティ,vocal,13.3,140.0,64,,,bass,0.2931,0.2831,0.0093,1.797,0.5259,0.8531,5.812,5.953,0.5551,0.5406,0.0156,0.2188,0.5938,0.0,0.0469,0.125,0.2188,0.0,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
song,Nerverakes,maimai,instrumental,14.1,140.0,46,,,drums,0.7766,0.3374,0.1904,0.364,0.549,0.8286,12.174,5.543,0.3138,0.2764,0.5,0.0,0.0,0.0435,0.0217,0.4348,0.2174,0.5435,0.0652,0.0,0.1739,0.0652,0.1304,0.0,0.1087,0.0,0.5,0.0,0.3696,0.0,0.087,0.0217,0.0217
song,Night Fly,maimai,vocal,13.2,127.0,42,,,drums,0.4464,0.2751,0.0799,0.976,0.5616,0.7377,6.81,7.31,0.2229,0.4308,0.0714,0.2381,0.2143,0.0476,0.0476,0.381,0.4286,0.0952,0.2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0238,0.0,0.0238,0.0,0.0
song,Nitrous Fury,maimai,instrumental,14.0,144.0,63,,,drums,0.8399,0.5818,0.2508,0.394,0.6384,0.9041,11.937,7.841,0.5217,0.5224,0.3968,0.0317,0.0,0.0159,0.0,0.5556,0.0,0.3492,0.254,0.0,0.3968,0.1429,0.1746,0.0,0.0,0.0,0.4127,0.0,0.5238,0.0,0.0,0.0,0.0
song,Paranoia,東方Project,vocal,13.6,150.0,84,,,drums,0.6822,0.47,0.031,0.911,0.5175,0.7539,9.738,7.345,0.0802,0.0564,0.4048,0.2024,0.0595,0.0238,0.0357,0.2738,0.2262,0.119,0.0238,0.0,0.0,0.0,0.0238,0.0,0.0119,0.0,0.1667,0.0,0.5238,0.131,0.4643,0.0238,0.0
song,Party 4U ”holy nite mix”,ゲーム＆バラエティ,instrumental,13.7,159.0,59,,,drums,0.7935,0.5541,0.1022,0.5,0.6743,0.8912,11.78,6.085,0.3233,0.2565,0.5085,0.0339,0.0169,0.0339,0.0169,0.3898,0.322,0.1356,0.0169,0.0,0.0339,0.0,0.0339,0.0508,0.0169,0.0,0.3559,0.0,0.2881,0.3729,0.2881,0.0678,0.0
song,Reach For The Stars,ゲーム＆バラエティ,vocal,13.9,203.0,72,,,drums,0.6651,0.5383,0.157,0.882,0.3865,0.7929,7.625,4.486,0.2864,0.5946,0.4722,0.0972,0.1111,0.0972,0.0972,0.125,0.0139,0.0556,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0417,0.0556,0.0278,0.0972,0.2083,0.0278,0.0278
song,Rodeo Machine,POPS＆アニメ,vocal,13.8,115.0,56,,,drums,0.3661,0.1604,0.067,1.429,0.5662,0.8954,7.643,6.821,0.414,0.6499,0.0,0.1964,0.5893,0.0714,0.0714,0.0714,0.2679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0,0.125,0.0893,0.0893,0.0
song,Scars of FAUNA,ゲーム＆バラエティ,instrumental,13.8,165.0,81,,,drums,0.7179,0.4877,0.1039,0.892,0.4958,0.7209,9.593,6.259,0.4388,0.621,0.358,0.1235,0.0494,0.0123,0.0123,0.4444,0.3086,0.0,0.0494,0.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.0,0.0988,0.1481,0.4815,0.0617,0.0494
song,Signature,maimai,instrumental,13.5,128.0,70,,,drums,0.8208,0.3259,0.1109,0.576,0.5611,0.7493,9.971,6.914,0.6068,0.7581,0.5143,0.0571,0.0286,0.0286,0.0857,0.2857,0.3286,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0429,0.3,0.5,0.1286,0.0286,0.0
song,Space Harrier Main Theme [Reborn],ゲーム＆バラエティ,instrumental,13.6,125.0,59,,,other,0.5679,0.4318,0.1573,0.986,0.3832,0.6861,7.864,6.102,0.2377,0.3016,0.1186,0.0,0.0678,0.0678,0.1356,0.6102,0.0508,0.0169,0.3729,0.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.2881,0.1695,0.2034,0.0,0.0,0.0,0.0847
song,Still,オンゲキ＆CHUNITHM,vocal,13.4,176.0,102,,,drums,0.6674,0.4144,0.1781,1.054,0.5066,0.7773,7.775,5.039,0.381,0.3065,0.2549,0.1569,0.0686,0.0686,0.0098,0.4412,0.1078,0.0392,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078,0.0,0.1863,0.0784,0.2549,0.0686,0.0196
song,Streak,maimai,instrumental,13.7,150.0,48,,,drums,0.4672,0.3076,0.0605,1.342,0.4908,0.7674,6.917,7.458,0.4783,0.5242,0.125,0.1458,0.25,0.0,0.1042,0.375,0.2917,0.0625,0.0833,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0833,0.0,0.0625,0.0833,0.0417,0.0,0.0
song,TRUST,オンゲキ＆CHUNITHM,vocal,13.1,190.0,95,,,drums,0.6947,0.2654,0.1349,0.761,0.4912,0.7791,7.674,4.147,0.407,0.4556,0.3053,0.2105,0.0105,0.0632,0.0211,0.3895,0.2,0.1368,0.0526,0.0421,0.0,0.0421,0.0,0.0,0.0,0.0,0.0105,0.1684,0.0421,0.2316,0.3579,0.0211,0.1263
song,ULTRA B+K,ゲーム＆バラエティ,instrumental,13.9,175.0,89,,,drums,0.6089,0.3276,0.0503,1.169,0.5817,0.5846,9.494,6.865,0.5076,0.4161,0.2247,0.0787,0.0674,0.0225,0.0112,0.5955,0.3034,0.0449,0.0225,0.0,0.0,0.0,0.0,0.0,0.0674,0.0,0.1124,0.0337,0.382,0.1573,0.3371,0.0225,0.0449
song,Urban Crusher [Remix],ゲーム＆バラエティ,instrumental,13.4,155.0,66,,,drums,0.6693,0.499,0.1259,0.917,0.4914,0.7028,7.212,6.182,-0.2273,-0.1163,0.3333,0.1818,0.0758,0.0152,0.0303,0.3636,0.1061,0.2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485,0.0,0.2879,0.0,0.0606,0.0,0.0152
song,We Gonna Journey,オンゲキ＆CHUNITHM,vocal,13.9,160.0,85,,,drums,0.7161,0.3032,0.0977,0.941,0.6019,0.7433,10.765,6.753,0.1485,0.5494,0.4,0.0706,0.0941,0.0706,0.0471,0.3176,0.2588,0.1765,0.0,0.0,0.0353,0.0941,0.0471,0.0235,0.0118,0.0,0.2471,0.0,0.0941,0.1765,0.3529,0.0706,0.0
song,White Traveling Girl,東方Project,vocal,13.4,154.0,85,,,drums,0.6786,0.6014,0.0327,0.944,0.6021,0.7522,9.471,8.376,-0.0941,0.0588,0.3765,0.1529,0.0941,0.0,0.0471,0.3294,0.2588,0.1647,0.0706,0.0,0.0353,0.0,0.0118,0.0,0.0,0.0,0.2824,0.0471,0.1765,0.1412,0.3176,0.0471,0.0
song,World Vanquisher,オンゲキ＆CHUNITHM,instrumental,14.3,170.0,100,,,drums,0.6676,0.547,0.3355,0.883,0.5127,0.6707,10.72,5.43,0.5529,0.4371,0.11,0.08,0.03,0.31,0.08,0.39,0.34,0.25,0.02,0.0,0.05,0.0,0.08,0.0,0.0,0.02,0.23,0.0,0.2,0.07,0.18,0.04,0.0
