scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_drums,prec_bass,prec_other,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
segment,Back 2 Back,13.7,150.0,chart_changepoint,2,38,44,,,7,,25,,,,,,,,,,,7.143,0.4033,,,,,,,drums,0.92,bass,0.6,drums,3.3468,,,,0.92,0.6,0.0,0.0,0.3833,0.375,0.0,,3.3468,3.1107,0.0,,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,3,45,53,,,9,,23,,,,,,,,,,,5.111,0.7039,,,,,,,drums,0.8696,bass,0.6087,bass,3.2366,,,,0.8696,0.6087,0.6087,0.2609,0.2326,0.28,0.2545,0.2609,2.8874,3.2366,2.9721,2.8546,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,4,54,68,,,15,,50,,,,,,,,,,,6.667,0.8112,,,,,,,drums,0.88,bass,0.64,other,3.368,,,,0.88,0.64,0.44,0.28,0.3077,0.3168,0.3929,0.2373,2.9277,2.8681,3.368,2.0417,,,,,
song,MYTHOS,14.4,158.0,,,,,,,76,735,584,0.0,2.5,10.77,0.2706,0.196,0.1793,0.409,60,0.75,1.0,9.671,,10.1,0.1338,4.513,-1.424,,,,,,,,,,,,0.5599,0.3545,0.1661,0.0257,0.633,0.4638,0.8981,0.2459,2.357,1.7067,3.0039,0.8124,0.2192,0.5638,tail_kill,1.5769,0.0333
segment,MYTHOS,14.4,158.0,audio_segment,0,2,8,intro,イントロ,7,,1,,,,,,,,,,,0.286,0.1561,,,,,drum,hook,drums,0.0,bass,0.0,drums,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,1,9,20,chorus,サビ,12,,11,,,,,,,,,,,3.667,0.8605,,,,,drum,,drums,0.9091,bass,0.0,drums,4.4174,True,True,True,0.9091,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,4.4174,0.0,0.0,0.0,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,2,21,24,verse,Aメロ,4,,9,,,,,,,,,,,6.5,0.7579,,,,,drum,hook,drums,0.8889,other,0.2222,other,11.3632,True,True,False,0.8889,0.0,0.2222,0.1111,0.2667,0.0,1.0,0.1667,3.4668,0.0,11.3632,1.9314,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,3,25,44,interlude,間奏,20,,159,,,,,,,,,,,11.05,0.8366,,,,,hook,,drums,0.5975,bass,0.3585,other,2.9917,False,False,True,0.5975,0.3585,0.2327,0.0252,0.6169,0.3585,0.9024,0.8,2.2783,1.3302,2.9917,2.5602,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,4,45,56,final_chorus,ラスサビ,12,,184,,,,,,,,,,,15.417,0.9177,,,,,drum,,drums,0.5598,bass,0.4837,drums,1.9005,True,True,True,0.5598,0.4837,0.1196,0.0217,0.9717,0.978,0.9565,0.5714,1.9005,1.8687,1.6398,0.9544,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,5,57,68,verse,Aメロ,12,,105,,,,,,,,,,,10.667,0.7512,,,,,hook,,drums,0.4952,bass,0.2667,other,2.4383,False,False,True,0.4952,0.2667,0.2,0.0286,0.6582,0.5,0.8077,0.6,2.1628,1.5841,2.4383,1.7503,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,6,69,72,interlude,間奏,4,,33,,,,,,,,,,,9.5,0.6804,,,,,hook,,drums,0.5455,other,0.2424,other,2.8507,False,True,True,0.5455,0.1515,0.2424,0.0,0.5625,0.2632,0.8889,,2.0132,0.8857,2.8507,,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,7,73,76,interlude,間奏,4,,59,,,,,,,,,,,16.5,0.7289,,,,,drum,hook,drums,0.4746,bass,0.339,other,1.7505,True,True,False,0.4746,0.339,0.0678,0.0508,0.8485,0.7692,1.0,1.0,1.7065,1.497,1.7505,1.7419,,,,,
segment,MYTHOS,14.4,158.0,audio_segment,8,77,77,interlude,間奏,1,,23,,,,,,,,,,,25.0,0.5669,,,,,drum,hook,drums,0.3913,bass,0.3478,bass,1.6484,True,True,False,0.3913,0.3478,0.0,0.0,0.8889,1.0,0.0,,1.3079,1.6484,0.0,,,,,,
segment,MYTHOS,14.4,158.0,chart_changepoint,0,2,21,,,20,,13,,,,,,,,,,,2.5,0.613,,,,,,,drums,0.8462,bass,0.0,drums,5.7896,,,,0.8462,0.0,0.0,0.0,0.1375,0.0,0.0,0.0,5.7896,0.0,0.0,0.0,,,,,
segment,MYTHOS,14.4,158.0,chart_changepoint,1,22,42,,,21,,135,,,,,,,,,,,10.048,0.8178,,,,,,,drums,0.6444,bass,0.3185,other,3.6927,,,,0.6444,0.3185,0.2741,0.0296,0.5404,0.2739,0.9024,0.5,2.4665,1.2457,3.6927,1.9839,,,,,
segment,MYTHOS,14.4,158.0,chart_changepoint,2,43,56,,,14,,216,,,,,,,,,,,15.5,0.9113,,,,,,,drums,0.5509,bass,0.4769,drums,1.9049,,,,0.5509,0.4769,0.1065,0.0231,0.9835,0.9626,0.92,0.625,1.9049,1.8299,1.5635,1.0372,,,,,
segment,MYTHOS,14.4,158.0,chart_changepoint,3,57,69,,,13,,111,,,,,,,,,,,10.385,0.7455,,,,,,,drums,0.5045,bass,0.2613,other,2.402,,,,0.5045,0.2613,0.1892,0.027,0.6437,0.4833,0.7778,0.6,2.1719,1.5677,2.402,1.7925,,,,,
segment,MYTHOS,14.4,158.0,chart_changepoint,4,70,77,,,8,,109,,,,,,,,,,,15.25,0.6909,,,,,,,drums,0.4862,bass,0.2936,vocals,1.8719,,,,0.4862,0.2936,0.1101,0.0275,0.7879,0.6383,0.9231,1.0,1.7484,1.4175,1.7708,1.8719,,,,,
song,Mare Maris,13.9,150.0,,,,,,,80,856,598,0.0,20.0,27.88,0.4261,0.3623,0.3581,0.376,10,0.75,0.75,10.7,,10.54,0.1602,2.881,-1.796,,,,,,,,,,,,0.6271,0.1054,0.3562,0.311,0.7406,0.2692,0.4797,0.6996,2.942,1.0021,1.8744,2.6502,0.1555,0.5679,tail_kill,1.4369,0.3455
segment,Mare Maris,13.9,150.0,audio_segment,0,2,16,intro,イントロ,15,,90,,,,,,,,,,,8.0,0.6031,,,,,hook,,drums,0.6333,other,0.5,drums,3.8941,False,True,False,0.6333,0.0,0.5,0.2444,0.8028,,0.625,0.8148,3.8941,,3.0353,3.745,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,1,17,24,verse,Aメロ,8,,78,,,,,,,,,,,10.75,0.7576,,,,,drum,vocal,drums,0.4103,other,0.3077,drums,2.642,True,True,True,0.4103,0.0641,0.3077,0.3077,0.8889,0.7143,0.8889,0.8,2.642,1.9858,2.5882,2.3455,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,2,25,32,quiet_chorus,落ちサビ,8,,49,,,,,,,,,,,8.25,0.8559,,,,,drum,vocal,drums,0.7347,vocals,0.3469,drums,3.5801,True,True,True,0.7347,0.1837,0.2857,0.3469,0.7347,0.1667,0.5185,0.68,3.5801,0.8213,2.4034,3.1374,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,3,33,40,interlude,間奏,8,,47,,,,,,,,,,,8.125,0.8226,,,,,drum,hook,drums,0.7872,vocals,0.4894,vocals,3.5132,True,True,False,0.7872,0.1489,0.3617,0.4894,0.6727,0.1321,0.5152,0.7188,3.464,0.677,2.5238,3.5132,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,4,41,48,interlude,間奏,8,,76,,,,,,,,,,,11.5,0.842,,,,,drum,hook,drums,0.6842,other,0.4737,drums,2.7909,True,True,True,0.6842,0.1053,0.4737,0.2368,0.8667,0.1739,0.8182,0.85,2.7909,0.5427,2.5416,2.6466,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,5,49,56,interlude,間奏,8,,42,,,,,,,,,,,12.0,0.8069,,,,,drum,hook,drums,0.7143,vocals,0.4286,drums,3.0006,True,True,True,0.7143,0.2381,0.2381,0.4286,0.5172,0.5263,0.2041,0.5294,3.0006,2.7942,1.1602,2.9091,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,6,57,60,interlude,間奏,4,,35,,,,,,,,,,,13.5,0.7449,,,,,hook,,drums,0.5429,vocals,0.3429,bass,2.6243,False,False,False,0.5429,0.2571,0.3143,0.3429,0.7037,0.8182,0.4783,0.75,2.4275,2.6243,1.6203,2.4614,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,7,61,64,pre_chorus,Bメロ,4,,30,,,,,,,,,,,14.5,0.8155,,,,,drum,vocal,drums,0.7,other,0.3333,bass,2.717,True,True,False,0.7,0.1,0.3333,0.3333,0.5526,0.75,0.4545,0.5,2.3356,2.717,1.7886,1.9496,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,8,65,72,chorus,サビ,8,,68,,,,,,,,,,,10.5,0.9396,,,,,vocal,drum,drums,0.5588,other,0.2647,drums,2.5403,False,False,False,0.5588,0.0441,0.2647,0.1618,0.6981,0.2308,0.2609,0.4583,2.5403,0.7463,0.9579,1.5203,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,9,73,80,chorus,サビ,8,,81,,,,,,,,,,,16.0,0.9229,,,,,vocal,drum,drums,0.5926,other,0.3333,drums,2.6938,False,False,False,0.5926,0.0864,0.3333,0.3333,0.9057,0.2917,0.36,0.7879,2.6938,0.8122,1.1246,2.3258,,,,,
segment,Mare Maris,13.9,150.0,audio_segment,10,81,81,outro,アウトロ,1,,2,,,,,,,,,,,7.0,0.5807,,,,,drum,hook,drums,0.5,bass,0.5,vocals,6.9198,True,True,False,0.5,0.5,0.5,0.5,0.2,0.3333,0.3333,0.5,2.9245,4.6991,4.6991,6.9198,,,,,
segment,Mare Maris,13.9,150.0,chart_changepoint,0,2,16,,,15,,90,,,,,,,,,,,8.0,0.6031,,,,,,,drums,0.6333,other,0.5,drums,3.8941,,,,0.6333,0.0,0.5,0.2444,0.8028,,0.625,0.8148,3.8941,,3.0353,3.745,,,,,
segment,Mare Maris,13.9,150.0,chart_changepoint,1,17,45,,,29,,216,,,,,,,,,,,9.034,0.8085,,,,,,,drums,0.6528,other,0.3704,drums,3.1436,,,,0.6528,0.1204,0.3704,0.3287,0.7833,0.1781,0.6838,0.7609,3.1436,0.6997,2.6379,2.9306,,,,,
segment,Mare Maris,13.9,150.0,chart_changepoint,2,46,65,,,20,,152,,,,,,,,,,,13.35,0.8173,,,,,,,drums,0.5987,vocals,0.3421,drums,2.4706,,,,0.5987,0.1645,0.2763,0.3421,0.6081,0.5208,0.3818,0.6047,2.4706,1.911,1.4826,2.2972,,,,,
segment,Mare Maris,13.9,150.0,chart_changepoint,3,66,73,,,8,,68,,,,,,,,,,,10.5,0.9459,,,,,,,drums,0.5735,other,0.2794,drums,2.5237,,,,0.5735,0.0588,0.2794,0.2059,0.7091,0.2353,0.2603,0.4643,2.5237,0.768,0.9642,1.6738,,,,,
segment,Mare Maris,13.9,150.0,chart_changepoint,4,74,81,,,8,,72,,,,,,,,,,,15.375,0.8801,,,,,,,drums,0.6111,other,0.375,drums,2.874,,,,0.6111,0.0972,0.375,0.3472,0.8627,0.3043,0.375,0.8333,2.874,0.9513,1.3091,2.6468,,,,,
song,Signature,13.5,128.0,,,,,,,70,698,503,0.0,-17.5,-228.96,0.5353,0.6517,0.6737,0.7717,40,0.5,0.75,9.971,,9.15,-0.1352,3.356,-2.68,,,,,,,,,,,,0.7833,0.0517,0.1292,0.0795,0.8099,0.1955,0.3333,0.3252,3.8959,0.8641,1.4945,1.4342,0.1093,0.6662,tail_kill,1.241,0.6667
segment,Signature,13.5,128.0,audio_segment,0,2,8,intro,イントロ,7,,19,,,,,,,,,,,4.0,0.3116,,,,,drum,hook,drums,0.6842,other,0.2632,drums,11.8587,True,True,True,0.6842,0.0,0.2632,0.0,1.0,,0.3571,0.0,11.8587,,4.2448,0.0,,,,,
segment,Signature,13.5,128.0,audio_segment,1,9,12,quiet_chorus,落ちサビ,4,,23,,,,,,,,,,,9.0,0.6601,,,,,drum,hook,drums,0.9565,vocals,0.087,drums,4.9238,True,True,True,0.9565,0.0,0.0,0.087,0.8148,,0.0,0.4,4.9238,,0.0,2.2177,,,,,
segment,Signature,13.5,128.0,audio_segment,2,13,28,chorus,サビ,16,,122,,,,,,,,,,,11.625,0.8501,,,,,vocal,drum,drums,0.7787,vocals,0.1639,drums,3.7322,False,True,False,0.7787,0.0656,0.1557,0.1639,0.812,0.1818,0.3393,0.4,3.7322,0.7784,1.4698,1.7227,,,,,
segment,Signature,13.5,128.0,audio_segment,3,29,36,final_chorus,ラスサビ,8,,67,,,,,,,,,,,11.0,0.8815,,,,,vocal,drum,drums,0.7164,other,0.1493,drums,2.9704,False,False,False,0.7164,0.0448,0.1493,0.0448,0.6957,0.2308,0.2941,0.1304,2.9704,0.8837,1.1738,0.5094,,,,,
segment,Signature,13.5,128.0,audio_segment,4,37,46,verse,Aメロ,10,,77,,,,,,,,,,,10.0,0.7708,,,,,hook,,drums,0.961,other,0.1169,drums,4.0773,False,True,False,0.961,0.013,0.1169,0.039,0.881,0.125,0.1915,0.2,4.0773,0.5138,0.8371,0.8313,,,,,
segment,Signature,13.5,128.0,audio_segment,5,47,54,verse,Aメロ,8,,31,,,,,,,,,,,6.0,0.5585,,,,,drum,hook,drums,0.6129,vocals,0.129,drums,5.2556,True,True,True,0.6129,0.0,0.0323,0.129,0.5806,0.0,0.25,0.4,5.2556,0.0,2.0323,3.2908,,,,,
segment,Signature,13.5,128.0,audio_segment,6,55,62,interlude,間奏,8,,71,,,,,,,,,,,12.5,0.7433,,,,,hook,,drums,0.8169,bass,0.0986,drums,3.4748,False,False,False,0.8169,0.0986,0.0986,0.0282,0.8507,0.2188,0.3889,0.6667,3.4748,0.8206,1.4192,2.3615,,,,,
segment,Signature,13.5,128.0,audio_segment,7,63,71,quiet_chorus,落ちサビ,9,,93,,,,,,,,,,,12.444,0.8265,,,,,drum,hook,drums,0.6989,other,0.1505,drums,2.9517,True,True,True,0.6989,0.0753,0.1505,0.0645,0.8553,0.2,0.7368,0.375,2.9517,0.6433,2.3045,1.1666,,,,,
segment,Signature,13.5,128.0,chart_changepoint,0,2,8,,,7,,19,,,,,,,,,,,4.0,0.3116,,,,,,,drums,0.6842,other,0.2632,drums,11.8587,,,,0.6842,0.0,0.2632,0.0,1.0,,0.3571,0.0,11.8587,,4.2448,0.0,,,,,
segment,Signature,13.5,128.0,chart_changepoint,1,9,20,,,12,,79,,,,,,,,,,,10.083,0.7261,,,,,,,drums,0.7468,other,0.1392,drums,4.0234,,,,0.7468,0.0633,0.1392,0.0886,0.7662,0.3333,0.3438,0.35,4.0234,1.6141,1.7023,1.7061,,,,,
segment,Signature,13.5,128.0,chart_changepoint,2,21,45,,,25,,205,,,,,,,,,,,11.28,0.867,,,,,,,drums,0.8537,other,0.1317,drums,3.6217,,,,0.8537,0.0341,0.1317,0.1024,0.8333,0.1429,0.2596,0.3,3.6217,0.5617,1.0567,1.1953,,,,,
segment,Signature,13.5,128.0,chart_changepoint,3,46,52,,,7,,16,,,,,,,,,,,3.286,0.5033,,,,,,,drums,0.625,other,0.0625,drums,6.2623,,,,0.625,0.0,0.0625,0.0,0.4348,0.0,0.1429,0.0,6.2623,0.0,1.9845,0.0,,,,,
segment,Signature,13.5,128.0,chart_changepoint,4,53,71,,,19,,184,,,,,,,,,,,12.842,0.7866,,,,,,,drums,0.7446,other,0.1141,drums,3.135,,,,0.7446,0.0761,0.1141,0.0652,0.8385,0.2059,0.5676,0.4615,3.135,0.7031,1.8891,1.5222,,,,,
song,Xevel,14.3,176.0,,,,,,,98,1169,897,0.0,2.5,7.23,0.4077,0.3621,0.4195,0.5381,0,0.25,0.75,11.929,,10.1,-0.6226,4.692,-3.294,,,,,,,,,,,,0.6421,0.214,0.4158,0.1093,0.8843,0.752,0.5463,0.5963,2.4782,1.9398,1.5463,1.483,0.1884,0.6948,tail_kill,1.3204,0.7692
segment,Xevel,14.3,176.0,audio_segment,0,4,8,intro,イントロ,5,,3,,,,,,,,,,,2.4,0.4766,,,,,drum,vocal,drums,0.0,bass,0.0,drums,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,
segment,Xevel,14.3,176.0,audio_segment,1,9,12,pre_chorus,Bメロ,4,,17,,,,,,,,,,,6.0,0.6886,,,,,drum,,drums,0.6471,bass,0.0588,drums,3.8757,True,True,True,0.6471,0.0588,0.0588,0.0,0.6875,0.3333,0.0476,0.0,3.8757,1.7471,0.2759,0.0,,,,,
segment,Xevel,14.3,176.0,audio_segment,2,13,24,chorus,サビ,12,,101,,,,,,,,,,,11.417,0.9027,,,,,vocal,drum,drums,0.7822,bass,0.2475,drums,2.6937,False,False,False,0.7822,0.2475,0.1881,0.1584,0.8876,0.6944,0.2088,0.5517,2.6937,1.9106,0.6359,1.498,,,,,
segment,Xevel,14.3,176.0,audio_segment,3,25,32,interlude,間奏,8,,75,,,,,,,,,,,9.875,0.7007,,,,,drum,hook,drums,0.44,other,0.3333,drums,2.5333,True,True,True,0.44,0.1333,0.3333,0.3067,0.9394,1.0,0.4902,1.0,2.5333,2.3736,1.3054,2.463,,,,,
segment,Xevel,14.3,176.0,audio_segment,4,33,48,final_chorus,ラスサビ,16,,132,,,,,,,,,,,12.562,0.9071,,,,,drum,,drums,0.7955,other,0.3712,drums,2.5888,True,True,True,0.7955,0.303,0.3712,0.1364,0.8268,0.6557,0.5052,0.6923,2.5888,1.8745,1.5182,1.8834,,,,,
segment,Xevel,14.3,176.0,audio_segment,5,49,52,quiet_chorus,落ちサビ,4,,34,,,,,,,,,,,10.25,0.851,,,,,bass,,drums,0.7941,other,0.3235,drums,2.7093,False,False,False,0.7941,0.1765,0.3235,0.0294,0.7667,0.4615,0.4286,0.3333,2.7093,1.2645,1.5007,0.8627,,,,,
segment,Xevel,14.3,176.0,audio_segment,6,53,60,interlude,間奏,8,,65,,,,,,,,,,,9.75,0.7253,,,,,hook,,other,0.6,drums,0.5692,drums,2.5862,True,True,False,0.5692,0.1538,0.6,0.0615,0.8605,0.625,0.6393,0.4,2.5862,1.7413,2.019,1.0955,,,,,
segment,Xevel,14.3,176.0,audio_segment,7,61,68,verse,Aメロ,8,,81,,,,,,,,,,,12.125,0.7511,,,,,hook,,other,0.679,drums,0.4444,bass,2.1603,True,True,False,0.4444,0.0494,0.679,0.0617,0.878,1.0,0.7746,0.5556,2.106,2.1603,2.0169,1.2175,,,,,
segment,Xevel,14.3,176.0,audio_segment,8,69,84,quiet_chorus,落ちサビ,16,,189,,,,,,,,,,,15.875,0.8666,,,,,hook,,drums,0.6614,other,0.4392,drums,2.1525,False,True,False,0.6614,0.1958,0.4392,0.0582,0.9528,0.8571,0.7339,0.3571,2.1525,1.7124,1.6249,0.7486,,,,,
segment,Xevel,14.3,176.0,audio_segment,9,85,88,verse,Aメロ,4,,48,,,,,,,,,,,14.25,0.8304,,,,,drum,,drums,0.5625,other,0.4375,drums,1.8188,True,True,True,0.5625,0.1458,0.4375,0.0,0.7188,0.4615,0.6786,0.0,1.8188,1.0449,1.5819,0.0,,,,,
segment,Xevel,14.3,176.0,audio_segment,10,89,100,verse,Aメロ,12,,150,,,,,,,,,,,15.083,0.8272,,,,,drum,,drums,0.58,other,0.4333,bass,2.0928,True,True,False,0.58,0.34,0.4333,0.1333,0.9326,1.0,0.6484,0.8261,1.9974,2.0928,1.4648,1.5718,,,,,
segment,Xevel,14.3,176.0,audio_segment,11,101,101,interlude,間奏,1,,2,,,,,,,,,,,8.0,0.6182,,,,,drum,hook,drums,1.0,bass,0.5,drums,11.3185,True,True,True,1.0,0.5,0.5,0.0,1.0,1.0,0.25,,11.3185,11.0627,2.9604,,,,,,
segment,Xevel,14.3,176.0,chart_changepoint,0,4,13,,,10,,25,,,,,,,,,,,4.3,0.6037,,,,,,,drums,0.64,other,0.08,drums,6.0309,,,,0.64,0.04,0.08,0.04,0.64,0.2,0.0526,0.1111,6.0309,1.8029,0.5103,1.0106,,,,,
segment,Xevel,14.3,176.0,chart_changepoint,1,14,30,,,17,,143,,,,,,,,,,,10.412,0.8218,,,,,,,drums,0.6923,other,0.2448,drums,2.7861,,,,0.6923,0.2028,0.2448,0.2028,0.9238,0.7632,0.2893,0.6905,2.7861,2.0648,0.8726,1.8781,,,,,
segment,Xevel,14.3,176.0,chart_changepoint,2,31,50,,,20,,188,,,,,,,,,,,13.35,0.8911,,,,,,,drums,0.7234,other,0.367,drums,2.3887,,,,0.7234,0.2766,0.367,0.1383,0.8462,0.7027,0.5447,0.7027,2.3887,1.7586,1.4825,1.6865,,,,,
segment,Xevel,14.3,176.0,chart_changepoint,3,51,64,,,14,,101,,,,,,,,,,,8.643,0.7514,,,,,,,drums,0.6634,other,0.6337,drums,2.8879,,,,0.6634,0.1287,0.6337,0.0693,0.8481,0.52,0.6095,0.4667,2.8879,1.6237,2.1619,1.4336,,,,,
segment,Xevel,14.3,176.0,chart_changepoint,4,65,101,,,37,,440,,,,,,,,,,,15.162,0.8294,,,,,,,drums,0.5773,other,0.4568,drums,2.0473,,,,0.5773,0.2205,0.4568,0.0773,0.9132,0.8738,0.709,0.5517,2.0473,1.8249,1.6048,1.1049,,,,,
song,初音ミクの激唱,14.5,200.0,,,,,,,119,834,721,0.0,-5.0,4.07,0.599,0.602,0.5922,0.4413,20,0.5,0.5,7.008,,10.1,-0.2617,4.528,1.266,,,,,,,,,,,,0.4397,0.147,0.0929,0.1942,0.5284,0.4817,0.7444,0.7107,1.9642,1.6662,2.4835,2.4246,0.4022,0.556,other,0.8204,0.578
segment,初音ミクの激唱,14.5,200.0,audio_segment,0,2,12,intro,イントロ,11,,18,,,,,,,,,,,2.091,0.5108,,,,,drum,hook,drums,0.3889,other,0.3889,other,10.8901,True,True,False,0.3889,0.1111,0.3889,0.0,0.1556,0.125,0.875,,2.1023,1.584,10.8901,,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,1,13,16,interlude,間奏,4,,18,,,,,,,,,,,6.25,0.4329,,,,,drum,hook,bass,0.4444,other,0.2222,bass,4.6704,False,False,False,0.1667,0.4444,0.2222,0.0,0.5,1.0,1.0,,2.3066,4.6704,4.5565,,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,2,17,22,verse,Aメロ,6,,17,,,,,,,,,,,4.5,0.6877,,,,,hook,vocal,drums,0.5882,other,0.5294,other,5.5632,False,True,True,0.5882,0.3529,0.5294,0.4118,0.3226,0.3,0.75,0.5833,2.5838,2.299,5.5632,4.327,,,,,
segment,初音ミクの激唱,14.5,200.0,audio_segment,3,23,30,pre_chorus,Bメロ,8,,29,,,,,,,,,,,5.25,0.8281,,,,,bass,vocal,drums,0.5517,bass,0.4138,other,3.984,False,True,False,0.5517,0.4138,0.2414,0.3793,0.3478,0.3158,0.7,0.5789,2.2081,1.9574,3.984,3.3876,,,,,
