scope,song,genre,level,bpm,n_bars,coverage_mean,extra_ratio_mean,physical_hardness_mean,hand_difficulty_mean,intensity_mean,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_子弹,cfg_三叉戟,cfg_鼓动段,cfg_连续拍滑,cfg_连续双押,cfg_错位,cfg_侧边双押,cfg_出张,cfg_一笔画,cfg_绕圈星星,cfg_纵连,cfg_轴交互,cfg_3+1,cfg_三角交互,cfg_二连扫,cfg_跳拍,cfg_反手,cfg_定拍,cfg_单双/双单,cfg_双押纵,cfg_2+1,cfg_穿心,cfg_双压连续拍滑,cfg_挥手段,cfg_普通交互,cfg_散点,cfg_CYCLES型星星,cfg_大风车,cfg_拆弹,cfg_楼梯交互,cfg_长纵连,cfg_逆楼梯/方向盘,cfg_井字星星,cfg_死镰段,cfg_大宇宙,cfg_夹键拍滑,cfg_同起点拍滑,cfg_如龙段,cfg_N+1
song,Barbed Eye,maimai,13.0,135.0,79,0.6924,0.1557,0.7089,0.5484,0.7753,0.3165,0.1772,0.038,0.0886,0.0253,0.1139,0.3418,,,0.0127,0.4684,0.0759,,0.1139,0.0506,,,0.0253,,0.0253,,0.1899,0.1519,,0.3165,,0.0253,,,,0.0127,0.0253,0.0253,,,,,,0.0127,,,,,,
song,Believe the Rainbow,maimai,13.4,133.0,69,0.3976,0.0519,0.5604,0.5305,0.6746,0.0435,0.1594,0.3913,0.0725,0.1159,0.0,,0.0145,0.0145,0.1739,,,,0.3043,0.1884,0.1449,,,,,,,,,,,,,0.0145,0.0145,,,0.0145,,0.0145,,,,0.058,,,,,,
song,Black Out,maimai,13.3,142.0,44,0.6776,0.0905,0.4929,0.5119,0.7918,0.2273,0.0682,0.0682,0.0227,0.0,0.0455,0.2273,,,,0.1136,,0.0455,0.1136,0.1591,0.1591,0.2955,,,,,0.2045,0.1591,,0.0455,,,,,,,,,,,,,,,,,,,,
song,Brain Power,ゲーム＆バラエティ,13.4,170.0,76,0.7194,0.0565,0.5572,0.1316,0.8157,0.4474,0.1579,0.0526,0.0132,0.0395,0.0,0.0395,,,,0.1842,0.1053,,0.1316,0.0658,0.0263,0.1316,0.0395,,0.0263,0.1316,0.0263,0.1974,,0.0263,0.0132,,,,,0.0395,0.0132,0.0132,,,0.0132,,,,,0.0395,,,,
song,Contrapasso -paradiso-,maimai,14.4,243.0,124,0.7253,0.1066,0.6872,0.4255,0.7064,0.4355,0.0887,0.0,0.0484,0.0887,0.0645,0.2419,0.0565,0.0968,0.2661,0.2339,0.0161,,0.1613,,,0.0968,,,0.0161,0.0081,0.0403,0.0161,,0.129,0.0323,,0.0323,0.0081,0.0484,0.0081,0.0161,,,,0.0161,,,0.0323,,,0.0484,,,
song,Cosmic Magic Shooter,東方Project,13.9,163.0,72,0.6955,0.036,0.599,0.4849,0.7656,0.25,0.2083,0.0556,0.0,0.0,0.0278,0.1667,0.0139,,0.0833,0.4167,0.0694,0.0139,0.2639,0.0556,0.0278,,,,,0.0556,0.0694,,,0.0694,,,0.0278,,,0.0139,,0.0417,,,,,,0.0278,,,,,,
song,DO RORO DERODERO ON DO RORO,ゲーム＆バラエティ,13.7,190.0,78,0.7178,0.1784,0.5531,0.4027,0.8514,0.3205,0.0513,0.0641,0.1282,0.0641,0.141,0.1282,,,,0.0256,,0.0128,0.1538,0.0256,0.0256,0.0128,,,0.1154,0.1154,0.3718,0.2051,,,,,,,,,,,,,,,,,,0.0641,,,,
song,DRAGONLADY,ゲーム＆バラエティ,13.9,150.0,53,0.8817,0.072,0.4964,0.4432,0.8358,0.6981,0.0189,0.0,0.0,0.0,0.0189,0.4151,,,,0.0566,0.0377,,0.0755,,,0.1321,0.0755,,0.0755,,0.434,0.1887,0.0377,,0.0189,,,,,0.0189,,,,,0.0566,,,,,,,,,
song,Danza zandA,maimai,13.4,129.0,58,0.6823,0.1315,0.503,0.1124,0.8018,0.2759,0.2414,0.0345,0.0345,0.0172,0.0517,0.1034,,,,0.5172,0.1379,0.0862,0.1897,0.0345,,,,,0.0345,0.0345,0.1897,0.0517,,0.1724,,,,,,,0.0345,,,,,,,0.0517,,,,,0.0172,
song,Death Scythe,maimai,13.8,182.0,88,0.8075,0.0838,0.5025,0.3091,0.8113,0.6023,0.0795,0.0114,0.0114,0.0341,0.0341,0.0341,,,0.0909,,0.1136,0.0227,0.2386,0.0909,0.1136,,,,,0.2045,0.1477,0.0682,,0.0455,,,0.0227,,,,,,,,,,,0.0227,0.0227,,0.0682,,,
song,D✪N’T ST✪P R✪CKIN’,maimai,13.8,140.0,72,0.6329,0.1825,0.6316,0.1369,0.6894,0.125,0.1944,0.0833,0.1111,0.0,0.0556,0.1111,0.0417,,,0.3611,0.125,0.0833,0.3472,0.3611,0.2778,,,,0.0139,0.0417,0.0278,0.0833,0.0278,0.0556,0.0278,,0.0556,,,,0.0694,,,0.2778,0.0278,,0.0278,,,0.0278,,,,
song,ECHO,niconico＆ボーカロイド,13.5,140.0,74,0.6697,0.1971,0.644,0.6069,0.7036,0.2568,0.2027,0.0135,0.0811,0.027,0.0676,0.0676,0.1081,0.1216,0.2432,0.1892,0.1351,,0.3649,0.0541,0.0676,0.027,,,,,0.0676,0.0135,,0.2703,,,,,,,,,,,,,,0.0541,,,0.1081,,,
song,Endless World,maimai,13.0,142.0,66,0.4592,0.0961,0.4162,0.4644,0.8347,0.0152,0.3182,0.2121,0.0758,0.0455,0.0455,0.1515,,,,0.0152,0.0152,0.0152,0.1818,0.0455,0.0606,0.0606,,,,,0.2727,0.2273,,0.0909,,,,,,,,,,,,0.0303,,,,,,,,
song,FEEL ALIVE,maimai,13.7,162.0,53,0.7223,0.1181,0.4842,0.5173,0.7851,0.3396,0.1509,0.0,0.0189,0.0755,0.0566,0.1321,,,,0.0943,0.0189,,0.1698,0.1698,0.0755,0.1321,0.1132,,,0.1509,0.1321,0.1698,,,,,,,,0.0377,,,,,,,,0.0189,,,,,,
song,FFT,maimai,14.0,180.0,91,0.6845,0.1947,0.496,0.126,0.6893,0.2967,0.1209,0.033,0.1648,0.044,0.033,0.0879,0.044,,0.022,0.0769,0.1648,,0.1538,0.2747,0.022,0.044,,,,,0.1209,0.0659,,0.0769,,0.022,,0.022,0.011,,,0.0659,,0.011,,,,0.011,,,,,,
song,FLOWER,ゲーム＆バラエティ,13.9,173.0,82,0.6917,0.1829,0.6979,0.3097,0.6844,0.3415,0.0976,0.0976,0.1098,0.0244,0.061,0.1463,,,,0.1951,0.0366,0.0488,0.1829,0.1098,0.0244,0.0122,,,0.0122,0.0244,0.4024,0.1098,,0.1341,,,,,,0.0366,0.0244,0.0732,,,0.0122,,,,,,,,,
song,FUJIN Rumble,ゲーム＆バラエティ,14.5,192.0,89,0.8595,0.2018,0.5941,0.2736,0.6752,0.5506,0.0562,0.0,0.0562,0.0449,0.1685,0.0899,,,,0.2697,0.0562,,,,,0.0899,,,0.0449,0.191,0.3258,0.1685,,0.1348,,,,,,0.1011,0.0449,,,,,,0.0225,,,0.0449,,,,
song,GOODMEN,ゲーム＆バラエティ,13.4,175.0,90,0.7826,0.0666,0.4833,0.4345,0.7489,0.5667,0.1667,0.0556,0.0111,0.0,0.0667,0.0667,0.1111,,0.1222,0.0889,0.0222,,0.1444,0.0333,0.0222,0.0778,0.0111,,0.0111,,0.1333,0.0778,,0.3,,0.0889,0.0444,,,,,,,,,0.0111,,,,,0.0556,,,
song,Garden Of The Dragon,ゲーム＆バラエティ,13.5,120.0,53,0.6036,0.1702,0.6318,0.3515,0.8119,0.2453,0.2453,0.0755,0.0943,0.0377,0.0377,0.1132,,,,0.3019,0.0755,,0.0566,0.0755,0.0189,,,,0.0755,0.0377,0.2264,0.1698,,0.0755,,0.1698,,,,0.1132,0.1132,0.0755,,,0.0943,,,,,0.0189,,,,
song,Get Happy,maimai,13.8,150.0,75,0.6903,0.0728,0.4545,0.5856,0.7699,0.28,0.24,0.0533,0.0,0.0133,0.0,0.36,,0.08,0.08,,0.04,,0.1867,0.0667,0.0267,,0.0133,,,0.0267,0.32,0.28,,0.0133,,0.1067,,,,,,,,,,,,0.0267,,,,,,
song,Got more raves？,ゲーム＆バラエティ,14.1,266.0,130,0.7386,0.2148,0.5357,0.3161,0.7764,0.3385,0.1,0.0154,0.0692,0.0385,0.1,0.3231,,,0.1,0.1538,,0.0077,0.0308,,,0.0385,0.1231,,0.0462,0.0231,0.0462,0.2538,,0.0154,0.0154,,,,,0.0308,,,,,0.0154,,,0.0154,,0.0462,0.0462,,,
song,HERA,maimai,14.3,185.0,102,0.7902,0.0484,0.4909,0.3179,0.7055,0.5294,0.1765,0.0196,0.0098,0.049,0.0294,0.1961,0.0588,,,0.2451,,,0.0882,0.049,0.0196,0.0686,0.1176,,0.1078,,0.0882,0.2451,,0.0196,0.0294,0.0196,,0.0686,0.0294,,,0.0098,,0.0098,0.0784,0.1078,,,,,,,,
song,HIMITSUスパーク,POPS＆アニメ,13.2,156.0,85,0.6975,0.1282,0.5546,0.4256,0.7016,0.3412,0.1765,0.0353,0.0471,0.0235,0.0471,0.2471,,,0.0235,0.3882,0.0353,,0.0941,0.1647,0.1412,,,,0.0235,0.0235,0.1059,0.1529,,0.0471,,,,,,0.0235,,0.0353,,,,,,,,,,,,
song,Hyper Active,maimai,13.9,160.0,90,0.7498,0.2134,0.6634,0.4387,0.7716,0.4222,0.1333,0.0222,0.1111,0.0111,0.0222,0.2667,,,0.0667,0.1222,0.0444,0.0222,0.1556,0.0667,,,,,,0.1333,0.3,0.2333,,0.1222,,,,,,0.0556,0.0222,,,,,,,,,,0.0222,,,
song,Imperishable Night 2006 (2016 Refine),東方Project,13.8,161.0,87,0.7612,0.058,0.5775,0.5424,0.6627,0.5172,0.1954,0.023,0.0115,0.0,0.0,0.2299,0.0115,0.023,0.046,0.1379,0.092,,0.023,,,0.046,0.1034,,0.1724,0.0345,0.1839,0.3563,,0.1149,,,,,,0.069,0.0115,,,,0.092,,,,,0.023,,,,
song,Infantoon Fantasy,オンゲキ＆CHUNITHM,13.8,185.0,109,0.7174,0.1125,0.5705,0.3944,0.6874,0.4128,0.211,0.0367,0.0367,0.0275,0.0459,0.2477,0.0183,0.0183,0.0826,0.2844,0.0459,,0.1376,,,0.0367,,,0.0092,0.0642,0.156,0.055,,0.0275,,0.0275,0.0367,,0.0183,0.0275,,,,,0.0183,,,0.0367,,,0.0183,,,
song,JACKY [Remix],ゲーム＆バラエティ,13.7,135.0,49,0.5102,0.089,0.5865,0.4936,0.7658,0.0408,0.4286,0.1837,0.0204,0.0,0.0,0.2449,,,0.1837,,0.102,,0.1837,0.0204,,,,,,0.0408,0.2449,0.2041,,,,,,,,,,,,,,,,0.0408,,,,,,
song,Jack-the-Ripper◆,ゲーム＆バラエティ,14.1,210.0,126,0.7628,0.178,0.4762,0.2937,0.6187,0.5,0.1111,0.0238,0.0952,0.0079,0.1032,0.0238,,,,0.0873,0.0397,,0.1746,0.1349,0.0635,,0.0238,,0.0079,0.0635,0.0952,0.1429,,0.0317,,,,,,0.1032,0.0397,,,,,,,0.0159,,,,,,
song,Jumble Rumble,maimai,14.0,185.0,96,0.8403,0.0491,0.4597,0.352,0.7664,0.7188,0.0938,0.0,0.0,0.0,0.0208,0.0521,,0.0208,0.0417,0.3854,0.0625,,0.0417,,0.0208,0.1354,0.0208,,0.0104,0.2188,0.3438,0.1458,,0.0312,,,,,,0.0417,0.0104,,,,0.0208,,,0.0312,0.0208,0.0104,0.0208,,,
song,KISS CANDY FLAVOR,ゲーム＆バラエティ,13.4,146.0,83,0.705,0.088,0.4462,0.3752,0.5794,0.2771,0.1687,0.0361,0.0241,0.0361,0.0482,0.1566,,,0.0843,0.2169,0.012,,0.2771,0.0843,0.0361,,0.0241,,0.0361,0.2892,0.2048,0.1325,,,,,,,,0.012,0.012,0.012,,,,,,0.0361,,,,,,
song,Kattobi KEIKYU Rider,オンゲキ＆CHUNITHM,13.7,220.0,132,0.5137,0.0822,0.557,0.4652,0.6179,0.1515,0.2727,0.1667,0.0303,0.0985,0.0076,0.053,,,0.0909,0.1288,0.0758,0.0152,0.2652,0.1288,0.0076,,0.0152,,,,0.0303,0.0455,,0.1288,0.0606,,,,,0.0152,,0.0152,,,0.0076,,,,,,,,,
song,L4TS2018 (feat. あひる & KTA),ゲーム＆バラエティ,13.3,190.0,80,0.6154,0.0493,0.5127,0.4107,0.8052,0.225,0.15,0.0625,0.025,0.075,0.025,0.1375,,,,0.1125,0.0125,,0.3875,0.05,0.025,,,,,,0.1875,,,,,,,,,,,0.0125,,,,,0.025,,,,,,,
song,Like the Wind [Reborn],ゲーム＆バラエティ,14.0,200.0,87,0.789,0.1146,0.5962,0.494,0.7829,0.5632,0.069,0.046,0.0575,0.023,0.0805,0.1264,,,0.069,0.1839,0.0805,0.1379,0.1379,0.0345,,,,,,0.1494,0.1494,0.046,,0.1264,,,,,,0.0345,,,0.023,,,,,,,,0.0345,,,
song,MYTHOS,maimai,14.4,158.0,68,0.6013,0.1456,0.6536,0.4434,0.831,0.3382,0.1176,0.0441,0.0147,0.2059,0.0882,0.0294,,,0.0294,0.1471,0.0588,,0.1765,0.1471,,0.0147,0.1765,,0.0735,0.0588,0.1324,0.2059,,0.0147,0.0147,,,,,0.0441,0.0588,0.0735,,,0.0147,,,0.0147,,0.0588,0.0294,,,
song,Magical Flavor,maimai,13.3,98.0,49,0.6619,0.0542,0.6024,0.4965,0.7963,0.3061,0.2857,0.0204,0.0408,0.0,0.0,0.3265,,0.1837,0.2653,0.4694,0.3469,,0.449,0.0612,,0.0204,,,,,0.3265,0.0408,,0.2857,,,,,0.102,,,,,,,,,,,0.1429,,0.0816,,
song,Magical Sound Shower,niconico＆ボーカロイド,13.4,120.0,68,0.7734,0.0265,0.6383,0.5065,0.673,0.5441,0.1029,0.0147,0.0,0.0882,0.0,0.5147,,,,0.2353,0.1765,0.0294,0.2794,0.0588,0.0735,0.2059,0.0294,,,,0.4265,,,0.1324,0.0588,,,,,0.0294,,0.0147,,,,,,,,,,,,0.0441
song,Mare Maris,maimai,13.9,150.0,80,0.7205,0.1158,0.5286,0.3811,0.7426,0.4,0.1875,0.0625,0.0125,0.0,0.05,0.0875,0.05,,0.0875,0.15,0.1,0.0375,0.1875,0.0625,,,0.025,,0.0625,0.0875,0.1625,0.075,,0.1125,,,,0.025,0.05,0.05,,0.025,,,,,,0.0125,,0.025,,,,
song,Maxi,ゲーム＆バラエティ,14.0,180.0,84,0.7351,0.1277,0.5503,0.4585,0.7168,0.3333,0.1548,0.0119,0.0476,0.0714,0.1429,0.0952,,,,0.3214,0.0595,,0.1429,0.0476,,0.0119,0.0238,,0.0119,0.0595,0.2024,0.1548,,0.3571,0.0714,,,,,0.0238,,,,,0.0119,0.0119,,0.0119,,,,,,
song,Money Money,東方Project,13.2,145.0,89,0.5825,0.0771,0.6043,0.4973,0.6837,0.236,0.2921,0.0787,0.0337,0.0899,0.0112,0.0899,,,0.1348,0.2472,0.0225,0.0112,0.0674,0.0225,,,0.0225,,,,0.1236,0.0562,,0.3146,,,,,,0.0225,,,,,,,,0.0112,,,,,,
song,My Dearest Song,オンゲキ＆CHUNITHM,13.3,145.0,85,0.6623,0.1607,0.5698,0.429,0.7616,0.3529,0.1059,0.0588,0.1176,0.0471,0.0706,0.1412,0.0235,0.0471,0.1176,0.2235,0.1059,0.0353,0.2706,0.0471,0.0824,,,,0.0353,,0.0353,0.0588,,0.0706,,,,,0.0235,0.0353,,0.0118,,,0.0118,,,0.0118,,0.0353,,,,
song,Mysterious Destiny,ゲーム＆バラエティ,13.3,140.0,64,0.2931,0.0093,0.6189,0.6696,0.8531,0.0156,0.1562,0.5469,0.0,0.0469,0.0469,,,0.0781,0.2969,,0.0156,,0.4219,0.4844,0.2656,,0.0625,,,0.125,,0.1094,,,,,,,,,,,,,,,,0.125,,,,,,
song,Nerverakes,maimai,14.1,140.0,46,0.7766,0.1904,0.6281,0.3871,0.8286,0.5,0.087,0.0,0.0435,0.0217,0.1739,0.3696,,,,0.087,0.0435,0.0217,0.1739,0.0435,,0.0652,0.0652,,0.1522,0.0435,0.4565,0.6087,,,0.0217,0.0652,,,,,0.0435,,,,0.0435,,,,,0.087,,,,
song,Night Fly,maimai,13.2,127.0,42,0.4464,0.0799,0.4672,0.3293,0.7377,0.0714,0.2619,0.1905,0.0476,0.0476,0.0714,0.0238,,,0.1905,0.0238,0.0476,,0.0952,,,0.2143,,,,0.0238,0.2857,,,,,,0.2143,,,,,,,,,,,,,,0.1905,,,
song,Nitrous Fury,maimai,14.0,144.0,63,0.85,0.2508,0.5381,0.3003,0.9041,0.4286,0.0317,0.0,0.0159,0.0,0.1587,0.5238,,,,,,,,,,0.254,0.1429,0.0794,0.3968,,0.4127,0.1905,,,,,,,,,,,,,0.0159,,,,,,,,,0.0952
song,Paranoia,東方Project,13.6,150.0,84,0.6822,0.031,0.5484,0.307,0.7539,0.4048,0.2381,0.0595,0.0238,0.0357,0.0119,0.5,0.0476,,0.119,0.3214,0.1071,,0.2381,0.0595,0.0238,0.0238,,,,,0.1548,0.0595,,0.1071,,0.0952,,0.0119,0.0357,,,0.0119,,,,,,,,,,,,0.0357
song,Party 4U ”holy nite mix”,ゲーム＆バラエティ,13.7,159.0,59,0.7935,0.1022,0.5632,0.5372,0.8912,0.5085,0.0339,0.0169,0.0339,0.0169,0.0678,0.2881,0.1186,,,0.2373,0.2881,,0.1695,0.0169,0.2034,0.0169,,,0.0339,0.0339,0.3729,0.0678,,0.2373,0.0169,,,,0.0678,0.1017,,0.0169,,,,,0.0508,0.0169,,,,,,0.1525
song,Reach For The Stars,ゲーム＆バラエティ,13.9,203.0,67,0.7086,0.1617,0.3964,0.3127,0.816,0.5075,0.0597,0.0746,0.1045,0.0299,0.0746,0.0299,0.0149,0.1045,0.1045,0.2239,0.0299,,0.1493,,,0.0896,,,,,0.0448,0.0896,,0.1045,,,,0.0149,,,,,,,,,,0.0299,,,,0.0149,,
song,Rodeo Machine,POPS＆アニメ,13.8,115.0,55,0.3661,0.0682,0.4036,0.4556,0.898,0.0,0.1455,0.5091,0.0727,0.0545,0.0909,,0.1636,0.1455,0.2545,,,,0.0909,0.2,0.2364,,0.0727,,,,,,,,,,,0.0909,0.1818,,,0.0182,,,,,,0.0364,,,,,,
song,Scars of FAUNA,ゲーム＆バラエティ,13.8,165.0,81,0.7179,0.1039,0.5269,0.3572,0.7209,0.358,0.1728,0.0247,0.0123,0.0123,0.0864,0.0494,,,,0.4815,0.1111,0.0247,0.1111,0.2222,,0.0247,,,,,0.0617,0.037,,0.0741,0.037,,,,,,,0.0123,,,,0.1358,,0.0123,,,,,,
song,Signature,maimai,13.5,128.0,70,0.8208,0.1109,0.6255,0.4521,0.7493,0.5143,0.1429,0.0286,0.0286,0.0857,0.0429,0.3,0.0286,,0.0286,0.0714,0.1857,,0.3857,0.0286,0.0571,,,,,0.0143,0.1429,,0.0143,0.3,,0.0857,,,0.0286,,,,,,,,,,,,,,,
song,Space Harrier Main Theme [Reborn],ゲーム＆バラエティ,13.6,125.0,58,0.5779,0.1573,0.4328,0.4286,0.6904,0.1207,0.2759,0.0517,0.069,0.1207,0.0862,0.2069,,,,,0.0172,0.0862,0.0172,,,0.3793,,,0.0172,,0.2931,0.1897,0.1207,,,,,,,0.0172,,,,,,,,,,,,,,
song,Still,オンゲキ＆CHUNITHM,13.4,176.0,102,0.6674,0.1781,0.477,0.4375,0.7773,0.2549,0.1275,0.0588,0.0686,0.0098,0.0784,0.1373,,,0.098,0.2255,0.0392,0.0196,0.1078,0.049,0.049,0.0098,,,,0.0392,0.098,0.0294,,0.0784,,,,0.0196,,,,0.0294,,,,,,0.0392,,0.0196,,,,
song,Streak,maimai,13.7,150.0,48,0.4672,0.0605,0.5596,0.5383,0.7674,0.125,0.1458,0.25,0.0,0.1042,0.0,0.0625,,,0.0417,0.0417,,,0.4375,0.3333,0.1042,0.125,,,,,0.0833,0.0833,,0.0833,,,,,,,,,,,,,,,,,,0.0417,,
song,TRUST,オンゲキ＆CHUNITHM,13.1,190.0,94,0.6947,0.1257,0.4996,0.3386,0.7787,0.3085,0.2447,0.0,0.0638,0.0106,0.0638,0.0426,,,0.0745,0.2872,0.1383,,0.1489,0.1277,0.0745,0.0213,0.0426,,,0.0106,0.0106,0.0106,0.1702,0.1489,0.0213,,,,,,,,,,,0.0426,,,,,,,,
song,ULTRA B+K,ゲーム＆バラエティ,13.9,175.0,89,0.6089,0.0503,0.6292,0.5286,0.5846,0.2247,0.3596,0.0449,0.0225,0.0112,0.0337,0.3596,0.0337,0.0337,0.0337,0.2921,0.1236,0.0449,0.3483,0.0562,,0.0225,,,,,0.1124,0.0449,,0.1461,,,,0.0112,,,,,,,,,,0.0225,,,0.0337,,,
song,Urban Crusher [Remix],ゲーム＆バラエティ,13.4,155.0,65,0.6795,0.1279,0.5163,0.3284,0.7028,0.3385,0.2462,0.0769,0.0154,0.0154,0.0154,0.2923,,,0.0615,0.0615,0.0462,0.0154,0.1538,,,,,,,0.1385,0.3538,0.0923,,,,0.0923,,,,,,,,,,,,,,,,,,
song,We Gonna Journey,オンゲキ＆CHUNITHM,13.9,160.0,85,0.7161,0.0977,0.5242,0.2879,0.7433,0.4,0.1294,0.0824,0.0706,0.0471,0.0471,0.0941,0.0235,,0.1176,0.2235,0.1647,,0.2235,0.0824,,,0.0941,,0.0353,0.0118,0.2471,0.3059,,0.0353,,,,0.0471,,0.0471,,0.0353,,,,,,0.0235,,,,,,
song,White Traveling Girl,東方Project,13.4,154.0,85,0.6786,0.0327,0.5016,0.277,0.7522,0.3765,0.1765,0.0941,0.0,0.0471,0.0118,0.1765,,0.0471,0.0471,0.2353,0.0588,,0.1294,0.0824,0.0353,,,,0.0118,0.1529,0.2588,0.0941,,0.0471,0.0235,,,0.0118,,,,0.0118,,,,,,0.0235,,,0.0471,,,
song,World Vanquisher,オンゲキ＆CHUNITHM,14.3,170.0,100,0.6713,0.3355,0.565,0.4473,0.6707,0.11,0.12,0.02,0.31,0.08,0.26,0.2,0.06,,0.07,0.1,0.11,,0.16,0.03,0.03,,,,0.05,0.09,0.23,0.16,,0.04,0.04,,,,0.06,0.03,0.02,,,,0.02,,,0.01,0.04,,,,,
song,Xevel,オンゲキ＆CHUNITHM,14.3,176.0,95,0.7656,0.1385,0.6121,0.2568,0.8285,0.4842,0.0211,0.0211,0.0421,0.0421,0.1158,0.0316,,0.1368,0.1684,0.2211,0.0947,,0.0316,,,,0.0632,,0.1263,0.1053,0.1053,0.1158,,0.1053,,,,,,0.1368,0.0316,,0.0211,,0.0737,,0.0316,0.0632,0.0421,0.0421,0.1684,0.0842,,
song,YU-MU,東方Project,13.2,160.0,66,0.583,0.3222,0.6738,0.3947,0.7929,0.1818,0.1364,0.0455,0.3333,0.0,0.0303,0.1061,,,0.0606,0.2727,0.0303,,0.0455,0.1364,,0.0152,0.0303,,0.0152,,0.0303,0.0909,,0.1061,,,,,,0.0455,,,,,,,,0.0455,,,,,0.0606,
