scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,place_n_bars,place_I_mean,place_I_median,place_I_q1,place_I_q3,place_lift_I_低,place_lift_I_中,place_lift_I_高,place_pos_mean,place_coverage,place_mode_全采,place_mode_加花,place_mode_半采,place_mode_混合,place_mode_稀采/空音,place_mode_近全采,place_mode_随机半采,place_mode_静默,cooccur_top3,matrix_row,matrix_col,coverage,top_configs,top_common,top_modes
config,单双/双单,0.37985,0.21697,0.54273,3965,0.12074,0.54273,0.53589,0.54956,3965,0.62637,0.62048,0.63227,3965,10.57629,10.4787,10.67389,3965,6.81917,6.74302,6.89532,3965,4.81664,4.76531,4.86797,3965,9.97343,8.80057,11.14629,3965,1.61782,1.60119,1.63446,3965,0.63653,0.62976,0.6433,3965,0.10122,0.0975,0.10495,3965,0.04305,0.03943,0.04666,3965,0.0411,0.03759,0.04462,3965,0.35334,0.33846,0.36822,3965,14.68852,12.83492,16.54213,3965,13.6798,13.66773,13.69187,3965,173.83707,172.81032,174.86382,3965,0.14672,0.54875,0.03467,0.23506,0.01689,0.005,0.3942,0.36166,0.20958,0.03455,0.20303,0.33039,0.46658,1545,0.79724,0.83424,0.73463,0.9013,0.65626,1.08924,1.25455,0.49695,0.75886,0.45696,0.03689,0.14822,0.03819,0.02977,0.22136,0.06602,0.00259,连续双押:0.48; 错位:0.39; 子弹:0.32,,,,,,
config,普通交互,0.36449,0.3046,0.42439,5896,0.17954,0.42439,0.41909,0.42969,5896,0.52463,0.51963,0.52963,5896,10.52748,10.40739,10.64756,5896,9.3577,9.24215,9.47325,5896,6.76211,6.68101,6.84322,5896,17.6386,15.72881,19.54838,5896,1.58888,1.57213,1.60563,5896,0.21264,0.20625,0.21903,5896,0.05598,0.05339,0.05858,5896,0.09341,0.08809,0.09872,5896,0.03512,0.03237,0.03787,5896,0.15909,0.14975,0.16843,5896,24.08989,21.61616,26.56362,5896,13.76403,13.75388,13.77417,5896,177.63612,176.77572,178.49652,5896,0.0859,0.40241,0.04424,0.3942,0.01473,0.03076,0.32615,0.35058,0.2712,0.05207,0.1635,0.32514,0.51136,2344,0.7335,0.78339,0.64793,0.88159,1.05837,0.96623,0.9754,0.50164,0.81241,0.44923,0.12415,0.08063,0.11433,0.01706,0.16596,0.04053,0.00811,子弹:0.38; 错位:0.33; 连续双押:0.30,,,,,,
config,跳拍,0.3585,0.27083,0.44617,4673,0.1423,0.44617,0.43964,0.4527,4673,0.53496,0.52891,0.541,4673,10.91847,10.82916,11.00777,4673,8.76439,8.68605,8.84274,4673,6.01232,5.96092,6.06372,4673,13.54884,12.15232,14.94536,4673,1.47788,1.46299,1.49277,4673,0.3599,0.35188,0.36793,4673,0.06976,0.06681,0.0727,4673,0.04811,0.04489,0.05132,4673,0.02145,0.01924,0.02365,4673,0.23668,0.22449,0.24887,4673,20.54312,18.39466,22.69158,4673,13.72131,13.7103,13.73233,4673,168.82879,167.90642,169.75116,4673,0.00856,0.28194,0.08599,0.58999,0.02854,0.00028,0.35545,0.3762,0.22363,0.04473,0.24374,0.37342,0.38284,1748,0.77499,0.81595,0.70784,0.89214,0.76711,1.09145,1.14147,0.51398,0.80071,0.44908,0.05549,0.11327,0.09039,0.00458,0.21739,0.06979,,子弹:0.49; 错位:0.39; 连续双押:0.36,,,,,,
config,侧边双押,0.35381,0.18154,0.52609,690,0.02101,0.52609,0.51015,0.54203,690,0.58929,0.57342,0.60516,690,9.94928,9.71983,10.17872,690,5.88551,5.68976,6.08126,690,4.0301,3.91554,4.14465,690,9.10025,6.65087,11.54964,690,1.60845,1.55518,1.66172,690,0.75027,0.73179,0.76876,690,0.1012,0.09085,0.11154,690,0.08161,0.06679,0.09642,690,0.05735,0.04497,0.06972,690,0.22754,0.19623,0.25884,690,14.18696,9.853,18.52092,690,13.61464,13.58743,13.64184,690,171.11213,168.66271,173.56154,690,0.2004,0.47268,0.01636,0.23623,0.02337,0.00214,0.45942,0.33623,0.19565,0.0087,0.24928,0.35797,0.39275,311,0.78548,0.82755,0.71214,0.90839,0.74271,0.9935,1.26385,0.55938,0.70778,0.37942,0.02894,0.14469,0.06752,0.05145,0.23473,0.07395,0.01929,连续双押:0.62; 子弹:0.31; 错位:0.28,,,,,,
config,子弹,0.33629,0.23142,0.44117,6043,0.18401,0.44117,0.43552,0.44682,6043,0.52847,0.52306,0.53388,6043,9.87423,9.78447,9.964,6043,7.3864,7.31076,7.46204,6043,5.13743,5.09067,5.18418,6043,12.36745,11.19921,13.53569,6043,1.33952,1.32694,1.3521,6043,0.44173,0.4335,0.44997,6043,0.08199,0.07929,0.0847,6043,0.07005,0.06651,0.07358,6043,0.03848,0.03562,0.04133,6043,0.21562,0.20525,0.22599,6043,18.62105,16.80835,20.43375,6043,13.69176,13.68191,13.70161,6043,172.70471,171.85229,173.55714,6043,0.03217,0.50636,0.02393,0.3992,0.02134,0.00531,0.38094,0.35611,0.22969,0.03326,0.20189,0.34172,0.4564,2366,0.74914,0.79042,0.67434,0.87822,0.95217,1.09417,0.95365,0.48357,0.75967,0.44041,0.04861,0.13567,0.05368,0.02663,0.21598,0.07735,0.00169,连续双押:0.44; 跳拍:0.41; 错位:0.38,,,,,,
config,纵连,0.31701,0.216,0.41801,1297,0.03949,0.41801,0.40433,0.4317,1297,0.51663,0.50398,0.52927,1297,8.62375,8.42964,8.81786,1297,6.93678,6.76636,7.10719,1297,4.79528,4.68785,4.90271,1297,11.05718,8.70001,13.41434,1297,0.9573,0.92585,0.98876,1297,0.35188,0.33724,0.36653,1297,0.12686,0.11966,0.13406,1297,0.05401,0.04685,0.06117,1297,0.03873,0.03228,0.04519,1297,0.34002,0.31422,0.36581,1297,15.96145,12.7617,19.1612,1297,13.70601,13.6843,13.72773,1297,171.74159,169.87403,173.60915,1297,0.12637,0.44272,0.049,0.33218,0.02524,0.0071,0.37625,0.34541,0.24518,0.03315,0.23053,0.31689,0.45258,564,0.7386,0.78628,0.61806,0.89265,1.06375,0.84036,1.09591,0.46933,0.73155,0.39007,0.04255,0.13475,0.05496,0.03901,0.22695,0.10461,0.00709,错位:0.42; 子弹:0.38; 跳拍:0.34,,,,,,
config,长纵连,0.26135,0.25088,0.27183,134,0.00408,0.27183,0.2329,0.31076,134,0.40523,0.36812,0.44234,134,8.49254,7.77456,9.21052,134,7.58209,6.86334,8.30084,134,5.56956,5.044,6.09511,134,8.75908,7.50117,10.01699,134,0.37555,0.28908,0.46202,134,0.20798,0.16558,0.25038,134,0.0699,0.05115,0.08865,134,0.03591,0.01783,0.054,134,0.06141,0.03063,0.09219,134,0.24627,0.17305,0.31949,134,12.19403,10.38889,13.99917,134,13.73657,13.66424,13.8089,134,178.25373,173.00457,183.50289,134,0.24524,0.38649,0.01013,0.26163,0.05247,0.01455,0.35075,0.29851,0.33582,0.01493,0.08209,0.40299,0.51493,69,0.66775,0.74728,0.58128,0.83363,1.34773,1.2173,0.43485,0.32388,0.79709,0.50725,0.01449,0.13043,0.02899,,0.28986,0.02899,,错位:0.35; 连续双押:0.18; 纵连:0.17,,,,,,
matrix,,,,,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中,中,0.6908,定拍(1.35/0.02); 双押纵(1.29/0.04); 错位(1.23/0.23),连续双押(0.28); 错位(0.23); 子弹(0.20),全采:0.40; 半采:0.21
matrix,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中,低,0.6492,长纵连(2.43/0.01); 散点(1.38/0.01); 普通交互(1.27/0.22),普通交互(0.22); 连续双押(0.22); 子弹(0.21),全采:0.35; 半采:0.23
matrix,,,,,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中,高,0.6985,定拍(1.40/0.02); 逆楼梯/方向盘(1.39/0.01); 轴交互(1.38/0.02),连续双押(0.29); 错位(0.23); 普通交互(0.17),全采:0.41; 半采:0.21
matrix,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,密,中,0.6176,大宇宙(2.12/0.04); 跳拍(1.87/0.24); 楼梯交互(1.84/0.05),连续双押(0.27); 子弹(0.26); 错位(0.26),全采:0.26; 近全采:0.23
matrix,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,密,低,0.5151,轴交互(2.39/0.04); 楼梯交互(2.18/0.06); 大宇宙(1.88/0.03),普通交互(0.22); 子弹(0.20); 连续双押(0.18),半采:0.29; 稀采/空音:0.19
matrix,,,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,密,高,0.5975,逆楼梯/方向盘(4.52/0.02); 散点(2.98/0.02); 三角交互(2.91/0.07),错位(0.30); 普通交互(0.25); 跳拍(0.24),半采:0.24; 近全采:0.22
matrix,,,,,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稀,中,0.7514,长纵连(1.64/0.01); 侧边双押(1.26/0.03); 双押纵(1.23/0.04),连续双押(0.26); 子弹(0.15); 错位(0.14),全采:0.33; 近全采:0.32
matrix,,,,,2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稀,低,0.6854,散点(0.96/0.01); 纵连(0.92/0.04); 侧边双押(0.88/0.02),连续双押(0.16); 普通交互(0.14); 子弹(0.12),全采:0.23; 静默:0.21
matrix,,,,,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稀,高,0.7598,侧边双押(1.50/0.03); 连续双押(1.19/0.29); 双押纵(1.17/0.03),连续双押(0.29); 错位(0.19); 子弹(0.13),全采:0.36; 近全采:0.32
