谱,定数,BPM,小节,时刻s,手,落键,任务类型,星星终点,BREAK,同键连续串长,同刻另一手,同刻note数,本手上一落键,本手上一类型,上一落键环距,距上一落键_拍,本手下一落键,另一手被钉,谱内位置五等分
103-ウサテイ-mas,14,190,61,77.3684,R,7,tap,,0,1,L6(slide),2,8,tap,1,2.0,8,slide:6>1,4
103-ウサテイ-mas,14,190,61,77.9211,R,6,tap,,0,1,,1,8,tap,2,0.75,5,,4
103-ウサテイ-mas,14,190,62,78.8684,L,3,tap,,0,1,,1,4,tap,1,1.75,3,,4
103-ウサテイ-mas,14,190,62,79.2632,L,3,tap,,1,2,R2(slide),2,3,tap,0,1.25,2,slide:2>5,4
103-ウサテイ-mas,14,190,63,79.8947,L,2,tap,,0,1,R3(slide),2,3,tap,1,2.0,1,slide:3>8,4
103-ウサテイ-mas,14,190,63,80.4474,L,3,tap,,0,1,,1,1,tap,2,0.75,4,,4
103-ウサテイ-mas,14,190,64,81.3947,R,6,tap,,0,1,,1,5,tap,1,1.75,2,,4
103-ウサテイ-mas,14,190,70,88.4211,R,7,star,,0,1,L6(slide),2,8,tap,1,2.0,7,slide:6>2,5
103-ウサテイ-mas,14,190,70,88.7368,R,7,slide,3,0,1,L6(star),2,7,star,0,1.0,6,,5
103-ウサテイ-mas,14,190,70,89.0526,R,6,slide,1,0,1,L7(star),2,7,slide,1,1.0,2,slide:7>4,5
103-ウサテイ-mas,14,190,72,90.9474,L,2,star,,0,1,R3(slide),2,1,tap,1,2.0,2,slide:3>7,5
103-ウサテイ-mas,14,190,72,91.2632,L,2,slide,6,0,1,R3(star),2,2,star,0,1.0,3,,5
103-ウサテイ-mas,14,190,72,91.5789,L,3,slide,8,0,1,R2(star),2,2,slide,1,1.0,6,slide:2>5,5
103-ウサテイ-mas,14,190,77,98.5263,R,6,slide,2,0,1,L7(star),2,5,tap,1,1.25,7,,5
103-ウサテイ-mas,14,190,78,98.8421,R,7,slide,3,0,1,L6(star),2,6,slide,1,1.0,6,,5
103-ウサテイ-mas,14,190,78,99.1579,R,6,slide,1,0,1,L7(star),2,7,slide,1,1.0,2,slide:7>4,5
103-ウサテイ-mas,14,190,79,101.0526,L,3,slide,7,0,1,R2(star),2,4,tap,1,1.25,2,,5
103-ウサテイ-mas,14,190,80,101.3684,L,2,slide,6,0,1,R3(star),2,3,slide,1,1.0,3,,5
103-ウサテイ-mas,14,190,80,101.6842,L,3,slide,8,0,1,R2(star),2,2,slide,1,1.0,5,slide:2>5,5
104-炭★坑★節-mas,13.3,112,25,53.5714,L,2,hold,,0,1,,1,7,hold,3,2.0,4,,3
104-炭★坑★節-mas,13.3,112,28,60.5357,R,7,tap,,0,1,L6(tap),2,5,tap,2,0.5,2,,4
104-炭★坑★節-mas,13.3,112,28,61.6071,L,2,tap,,0,1,R3(tap),2,4,tap,2,0.5,7,,4
104-炭★坑★節-mas,13.3,112,30,64.8214,L,2,tap,,0,1,R3(tap),2,4,tap,2,0.5,7,,4
104-炭★坑★節-mas,13.3,112,30,65.8929,R,7,tap,,0,1,L6(tap),2,5,tap,2,0.5,2,,4
104-炭★坑★節-mas,13.3,112,32,69.1071,R,7,tap,,0,1,L6(tap),2,5,tap,2,0.5,2,,4
104-炭★坑★節-mas,13.3,112,32,70.1786,L,2,tap,,0,1,R3(tap),2,4,tap,2,0.5,7,,4
104-炭★坑★節-mas,13.3,112,33,70.9821,L,3,tap,,0,2,R2(tap),2,1,tap,2,0.5,1,,4
104-炭★坑★節-mas,13.3,112,36,78.75,R,6,tap,,0,1,L7(tap),2,5,tap,1,0.5,5,,5
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,1,1.3333,L,3,star,,0,1,,1,4,tap,1,1.0,3,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,1,1.6667,L,3,slide,8,0,1,R1(tap),2,3,star,0,1.0,1,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,2,3.3333,R,6,tap,,0,1,,1,5,tap,1,1.0,2,slide:3>8,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,3,4.6667,L,2,hold,,0,1,R1(tap),2,7,tap,3,1.0,1,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,5,7.3333,R,7,hold,,0,1,L8(tap),2,2,tap,3,1.0,8,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,7,10.0,L,3,hold,,0,1,R4(tap),2,6,tap,3,1.0,4,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,9,12.6667,R,6,hold,,0,1,L5(tap),2,3,tap,3,1.0,5,,1
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,86,115.0,R,6,slide,1,0,1,L1(star),2,3,slide,3,1.0,1,,5
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,87,116.6667,R,7,tap,,0,1,L2(slide),2,2,star,3,1.0,4,slide:5>2,5
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,14,180,87,116.6667,L,2,slide,7,0,1,R7(tap),2,5,slide,3,1.0,7,,5
1048-初音ミクの消失-mas,13.9,240,28,28.25,R,7,hold,,0,1,,1,1,slide,2,2.0,1,,2
1048-初音ミクの消失-mas,13.9,240,69,69.625,R,6,slide,2,0,1,,1,2,slide,4,1.5,5,,3
1048-初音ミクの消失-mas,13.9,240,80,80.3333,R,7,tap,,0,1,,1,3,tap,4,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,80,80.5833,L,3,tap,,0,1,,1,6,tap,3,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,80,80.8333,R,6,tap,,0,1,,1,4,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,81,81.0833,L,3,tap,,0,1,,1,5,tap,2,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,82,82.3333,L,2,tap,,0,1,,1,6,tap,4,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,82,82.5833,R,6,tap,,0,1,,1,3,tap,3,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,82,82.8333,L,3,tap,,0,1,,1,5,tap,2,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,83,83.0833,R,6,tap,,0,1,,1,4,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,83,83.75,L,3,tap,,1,1,,1,1,tap,2,0.667,5,,4
1048-初音ミクの消失-mas,13.9,240,84,84.3333,L,2,tap,,0,1,,1,4,tap,2,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,84,84.8333,R,7,tap,,0,1,,1,5,tap,2,0.667,1,,4
1048-初音ミクの消失-mas,13.9,240,85,85.0833,L,2,tap,,0,1,,1,6,tap,4,0.667,8,,4
1048-初音ミクの消失-mas,13.9,240,85,85.3333,R,7,tap,,0,1,,1,3,tap,4,0.667,1,,4
1048-初音ミクの消失-mas,13.9,240,85,85.6667,R,7,tap,,0,1,,1,1,tap,2,0.667,5,,4
1048-初音ミクの消失-mas,13.9,240,85,86.0,R,7,tap,,0,1,,1,5,tap,2,0.667,5,,4
1048-初音ミクの消失-mas,13.9,240,86,86.3333,R,7,tap,,0,1,,1,5,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,86,86.5833,L,3,tap,,0,1,,1,6,tap,3,0.667,1,,4
1048-初音ミクの消失-mas,13.9,240,86,86.9167,L,3,tap,,0,1,,1,1,tap,2,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,87,87.1667,R,6,tap,,0,1,,1,8,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,87,87.4167,L,3,tap,,0,1,,1,1,tap,2,0.667,1,,4
1048-初音ミクの消失-mas,13.9,240,87,87.75,L,3,tap,,1,1,,1,1,tap,2,0.667,5,,4
1048-初音ミクの消失-mas,13.9,240,89,89.75,L,2,tap,,1,1,,1,8,tap,2,0.667,6,,4
1048-初音ミクの消失-mas,13.9,240,91,91.75,R,7,tap,,1,1,,1,1,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,93,93.75,L,2,tap,,1,1,,1,8,tap,2,0.667,7,,4
1048-初音ミクの消失-mas,13.9,240,95,95.75,R,7,tap,,1,1,,1,1,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,103,103.8333,R,6,tap,,0,1,,1,4,tap,2,0.667,2,,4
1048-初音ミクの消失-mas,13.9,240,110,110.0833,L,2,tap,,0,1,,1,8,slide,2,1.333,8,,5
1048-初音ミクの消失-mas,13.9,240,110,110.3333,R,7,tap,,0,1,,1,3,tap,4,0.667,2,,5
1048-初音ミクの消失-mas,13.9,240,110,110.5833,L,3,tap,,0,1,,1,6,tap,3,0.667,7,,5
1048-初音ミクの消失-mas,13.9,240,111,111.3333,R,7,tap,,0,1,,1,3,tap,4,0.667,1,,5
105-ソーラン☆節-mas,13.4,145,0,0.8276,L,3,tap,,0,1,,1,,,,,6,hold:2>None,1
105-ソーラン☆節-mas,13.4,145,3,5.3793,L,3,slide,6,0,1,R2(slide),2,4,hold,1,3.0,6,slide:2>6,1
105-ソーラン☆節-mas,13.4,145,3,6.2069,R,6,slide,3,0,1,L7(slide),2,2,slide,4,2.0,3,slide:7>3,1
105-ソーラン☆節-mas,13.4,145,10,17.7931,R,6,hold,,0,1,,1,1,tap,3,2.0,2,,1
105-ソーラン☆節-mas,13.4,145,11,18.2069,L,3,hold,,0,1,,1,7,hold,4,2.0,1,,2
105-ソーラン☆節-mas,13.4,145,18,29.7931,L,2,tap,,0,1,R3(tap),2,4,tap,2,1.0,3,,2
105-ソーラン☆節-mas,13.4,145,18,30.6207,L,3,slide,6,0,1,R2(slide),2,2,tap,1,2.0,6,slide:2>6,2
105-ソーラン☆節-mas,13.4,145,21,35.5862,R,6,hold,,0,1,,1,8,hold,2,2.0,4,,2
105-ソーラン☆節-mas,13.4,145,22,36.8276,L,3,hold,,0,1,,1,5,hold,2,2.0,5,,3
105-ソーラン☆節-mas,13.4,145,24,40.1379,L,2,slide,6,0,1,R3(slide),2,8,slide,2,2.0,6,slide:3>6,3
105-ソーラン☆節-mas,13.4,145,24,40.9655,R,6,slide,3,0,1,L7(slide),2,3,slide,3,2.0,1,slide:7>3,3
105-ソーラン☆節-mas,13.4,145,26,43.4483,L,2,slide,6,0,1,R3(slide),2,5,slide,3,2.0,4,slide:3>6,3
105-ソーラン☆節-mas,13.4,145,33,54.6207,R,7,tap,,0,1,L6(tap),2,5,tap,2,1.0,6,,4
105-ソーラン☆節-mas,13.4,145,33,55.4483,R,6,slide,3,0,1,L7(slide),2,7,tap,1,2.0,1,slide:7>3,4
105-ソーラン☆節-mas,13.4,145,36,59.8966,R,7,tap,,0,2,,1,5,slide,2,1.75,7,hold:8>None,4
105-ソーラン☆節-mas,13.4,145,36,60.0,R,7,hold,,0,2,,1,7,tap,0,0.25,5,,4
105-ソーラン☆節-mas,13.4,145,37,61.8621,L,2,tap,,0,2,,1,4,hold,2,1.5,2,hold:3>None,4
105-ソーラン☆節-mas,13.4,145,37,61.9655,L,2,tap,,0,2,,1,2,tap,0,0.25,1,hold:3>None,4
105-ソーラン☆節-mas,13.4,145,52,86.069,R,7,tap,,0,1,L6(tap),2,2,tap,3,0.5,6,,5
105-ソーラン☆節-mas,13.4,145,52,86.8966,R,6,slide,3,0,1,L7(slide),2,7,tap,1,2.0,3,slide:7>3,5
105-ソーラン☆節-mas,13.4,145,53,87.7241,L,2,tap,,0,1,R3(tap),2,7,slide,3,2.0,3,,5
105-ソーラン☆節-mas,13.4,145,53,88.5517,L,3,slide,6,0,1,R2(slide),2,2,tap,1,2.0,,slide:2>6,5
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,3,6.75,R,7,tap,,0,2,L6(tap),2,5,tap,2,0.5,8,,1
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,3,7.75,L,3,tap,,0,1,R2(tap),2,1,tap,2,0.5,1,,1
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,5,10.25,L,2,tap,,0,1,R3(tap),2,1,tap,1,0.5,1,,1
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,8,16.25,L,3,tap,,0,1,R2(tap),2,4,tap,1,0.5,4,,1
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,22,45.375,R,6,hold,,0,1,,1,5,tap,1,1.0,8,,2
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,24,48.0,R,7,tap,,0,1,L6(tap),2,5,tap,2,0.5,1,,3
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,28,57.375,L,2,tap,,1,1,R3(tap),2,7,tap,3,1.75,5,,3
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,56,113.0,R,6,star,,0,1,L3(slide),2,3,star,3,1.0,1,slide:8>3,5
106-トルコ行進曲 - オワタ＼(^o^)／-mas,13.8,120,56,113.0,L,3,slide,6,0,1,R6(star),2,8,slide,3,1.0,6,,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,27,27.2269,R,6,hold,,0,1,,1,2,hold,4,4.0,2,,1
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,34,35.4202,L,2,slide,5,0,1,,1,5,tap,3,2.0,6,hold:2>None,2
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,84,85.5462,R,6,tap,,0,1,,1,2,tap,4,0.667,3,,3
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,85,85.7983,L,2,tap,,0,1,,1,7,tap,3,0.667,6,,3
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,85,86.0504,R,7,tap,,0,1,,1,1,tap,2,0.667,2,,3
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,114,115.7143,R,7,slide,3,0,1,,1,1,slide,2,4.0,2,,4
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,133,135.1261,R,6,star,,0,1,,1,2,slide,4,1.0,6,hold:5>None,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,133,135.3782,R,6,slide,8,0,1,,1,6,star,0,1.0,2,hold:5>None,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,134,136.1345,R,6,star,,0,1,,1,2,slide,4,1.0,2,slide:6>8,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,135,137.1429,L,2,star,,0,1,R6(slide),2,6,star,4,1.0,6,slide:2>6,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,135,137.1429,R,6,slide,2,0,1,L2(star),2,2,slide,4,1.0,2,,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,136,137.6471,L,2,star,,0,1,R6(slide),2,6,star,4,1.0,6,slide:2>6,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,136,137.6471,R,6,slide,2,0,1,L2(star),2,2,slide,4,1.0,2,,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,136,138.1513,L,2,tap,,0,1,R6(slide),2,6,star,4,1.0,5,slide:2>6,5
1069-渦状銀河のシンフォニエッタ-mas,14.3,238,136,138.1513,R,6,slide,2,0,1,L2(tap),2,2,slide,4,1.0,3,,5
111-Quartet Theme [Reborn]-mas,13,137,8,14.6715,L,2,hold,,0,2,,1,1,hold,1,1.5,4,,1
111-Quartet Theme [Reborn]-mas,13,137,9,16.3139,L,3,hold,,0,1,,1,4,tap,1,1.5,1,,1
111-Quartet Theme [Reborn]-mas,13,137,10,18.1752,R,7,hold,,0,2,,1,8,hold,1,1.5,5,,1
111-Quartet Theme [Reborn]-mas,13,137,11,19.8175,R,6,hold,,0,1,,1,5,tap,1,1.5,8,,1
111-Quartet Theme [Reborn]-mas,13,137,13,22.9927,R,7,hold,,0,2,,1,5,hold,2,1.5,3,,1
111-Quartet Theme [Reborn]-mas,13,137,15,26.4964,L,2,hold,,0,2,,1,4,hold,2,1.5,6,,2
111-Quartet Theme [Reborn]-mas,13,137,16,28.3577,L,2,hold,,0,1,,1,6,tap,4,1.25,4,,2
111-Quartet Theme [Reborn]-mas,13,137,17,30.0,R,7,hold,,0,1,,1,5,hold,2,1.5,6,,2
111-Quartet Theme [Reborn]-mas,13,137,17,30.6569,R,6,hold,,0,1,,1,7,hold,1,1.5,2,,2
111-Quartet Theme [Reborn]-mas,13,137,18,32.1898,R,6,hold,,0,1,,1,8,hold,2,1.5,4,,2
111-Quartet Theme [Reborn]-mas,13,137,18,33.1752,L,3,hold,,0,1,,1,5,hold,2,1.5,1,,2
111-Quartet Theme [Reborn]-mas,13,137,19,34.8175,R,7,tap,,0,1,,1,3,hold,4,1.5,8,,2
111-Quartet Theme [Reborn]-mas,13,137,25,45.5474,R,6,slide,1,0,1,,1,3,hold,3,4.5,4,hold:6>None,2
111-Quartet Theme [Reborn]-mas,13,137,37,65.2555,R,7,tap,,0,1,,1,3,tap,4,1.5,6,hold:8>None,3
111-Quartet Theme [Reborn]-mas,13,137,37,65.4745,R,6,hold,,0,1,,1,7,tap,1,0.5,3,,3
111-Quartet Theme [Reborn]-mas,13,137,40,71.3869,L,3,tap,,0,1,,1,5,tap,2,1.5,4,hold:2>None,3
111-Quartet Theme [Reborn]-mas,13,137,41,72.4818,L,3,hold,,0,1,,1,8,tap,3,0.5,4,,3
111-Quartet Theme [Reborn]-mas,13,137,48,85.1825,R,7,hold,,0,1,,1,5,hold,2,2.5,1,,4
111-Quartet Theme [Reborn]-mas,13,137,56,99.1971,L,2,hold,,0,1,,1,4,hold,2,2.5,8,,5
111-Quartet Theme [Reborn]-mas,13,137,64,112.5547,R,7,tap,,0,1,,1,3,tap,4,0.5,1,,5
111-Quartet Theme [Reborn]-mas,13,137,64,112.8832,L,2,tap,,0,1,,1,6,tap,4,0.5,8,,5
111-Quartet Theme [Reborn]-mas,13,137,64,113.2117,R,7,tap,,0,1,,1,3,tap,4,0.5,2,,5
111-Quartet Theme [Reborn]-mas,13,137,64,113.5401,L,3,tap,,0,1,,1,6,tap,3,0.5,7,,5
111-Quartet Theme [Reborn]-mas,13,137,65,113.8686,R,6,tap,,0,1,,1,4,tap,2,0.5,2,,5
111-Quartet Theme [Reborn]-mas,13,137,65,114.1971,L,3,tap,,0,1,,1,5,tap,2,0.5,7,,5
111-Quartet Theme [Reborn]-mas,13,137,65,115.1825,R,7,tap,,0,1,,1,3,tap,4,0.5,5,,5
111-Quartet Theme [Reborn]-mas,13,137,68,119.4526,L,3,hold,,0,1,,1,6,tap,3,1.25,7,,5
111-Quartet Theme [Reborn]-mas,13,137,69,121.4234,L,2,hold,,0,1,,1,6,hold,4,1.5,8,,5
112-Mysterious Destiny-mas,13.3,140,4,7.7143,L,3,slide,6,0,1,,1,8,slide,3,1.0,6,,1
112-Mysterious Destiny-mas,13.3,140,5,9.4286,R,6,slide,3,0,1,,1,1,slide,3,1.0,2,,1
112-Mysterious Destiny-mas,13.3,140,8,14.1429,R,6,star,,0,1,L1(slide),2,5,slide,1,2.0,2,slide:1>6,1
112-Mysterious Destiny-mas,13.3,140,8,15.0,L,2,slide,5,0,1,,1,6,slide,4,1.0,3,,1
112-Mysterious Destiny-mas,13.3,140,9,15.8571,L,3,star,,0,1,R8(slide),2,2,slide,1,2.0,7,slide:8>3,1
112-Mysterious Destiny-mas,13.3,140,9,16.7143,R,7,slide,4,0,1,,1,3,slide,4,1.0,5,,1
112-Mysterious Destiny-mas,13.3,140,12,21.4286,L,2,slide,5,0,1,,1,7,slide,3,1.0,7,,1
112-Mysterious Destiny-mas,13.3,140,13,23.1429,R,7,slide,4,0,1,,1,2,slide,3,1.0,1,,2
112-Mysterious Destiny-mas,13.3,140,18,31.2857,L,2,slide,5,0,1,,1,4,slide,2,1.5,7,slide:3>8,2
112-Mysterious Destiny-mas,13.3,140,18,32.1429,R,7,slide,4,0,1,,1,3,slide,4,1.5,2,slide:6>1,2
112-Mysterious Destiny-mas,13.3,140,19,33.0,L,2,slide,5,0,1,,1,6,slide,4,1.5,7,slide:3>8,2
112-Mysterious Destiny-mas,13.3,140,19,33.8571,R,7,slide,4,0,1,,1,3,slide,4,1.5,8,slide:6>1,2
112-Mysterious Destiny-mas,13.3,140,27,48.0,L,3,slide,8,0,1,R2(star),2,8,slide,3,1.0,5,slide:2>5,3
112-Mysterious Destiny-mas,13.3,140,44,75.8571,R,6,star,,0,1,L1(slide),2,8,slide,2,6.0,3,slide:1>6,4
112-Mysterious Destiny-mas,13.3,140,44,76.7143,L,3,slide,8,0,1,R8(star),2,6,slide,3,1.0,8,,4
112-Mysterious Destiny-mas,13.3,140,46,79.2857,L,3,star,,0,1,R8(slide),2,8,slide,3,5.0,6,slide:8>3,4
112-Mysterious Destiny-mas,13.3,140,46,80.1429,R,6,slide,1,0,1,L1(star),2,3,slide,3,1.0,1,,4
112-Mysterious Destiny-mas,13.3,140,48,83.1429,L,3,slide,6,0,1,,1,8,slide,3,1.0,6,,4
112-Mysterious Destiny-mas,13.3,140,49,84.8571,R,6,slide,3,0,1,,1,1,slide,3,1.0,2,,4
112-Mysterious Destiny-mas,13.3,140,52,90.8571,L,2,slide,5,0,1,R3(star),2,1,slide,1,1.0,4,slide:3>8,5
112-Mysterious Destiny-mas,13.3,140,53,92.5714,R,6,slide,1,0,1,L7(star),2,5,slide,1,1.0,8,slide:7>4,5
112-Mysterious Destiny-mas,13.3,140,54,94.2857,L,2,slide,5,0,1,R3(star),2,1,slide,1,1.0,4,slide:3>8,5
112-Mysterious Destiny-mas,13.3,140,56,96.8571,R,7,slide,4,0,1,L6(star),2,8,slide,1,1.0,5,slide:6>1,5
112-Mysterious Destiny-mas,13.3,140,57,98.5714,L,3,slide,8,0,1,R2(star),2,4,slide,1,1.0,1,slide:2>5,5
112-Mysterious Destiny-mas,13.3,140,58,100.2857,R,7,slide,4,0,1,L6(star),2,8,slide,1,1.0,5,slide:6>1,5
112-Mysterious Destiny-mas,13.3,140,59,102.0,L,3,slide,8,0,1,R2(star),2,4,slide,1,1.0,1,slide:2>5,5
113-Urban Crusher [Remix]-mas,13.4,155,9,14.5161,L,2,tap,,0,1,,1,7,hold,3,1.5,3,hold:1>None,1
113-Urban Crusher [Remix]-mas,13.4,155,9,14.7097,L,3,hold,,0,1,,1,2,tap,1,0.5,6,,1
113-Urban Crusher [Remix]-mas,13.4,155,11,17.2258,L,3,tap,,0,1,,1,5,slide,2,1.0,4,hold:2>None,1
113-Urban Crusher [Remix]-mas,13.4,155,11,17.8065,R,6,hold,,0,1,,1,5,tap,1,0.5,1,,1
113-Urban Crusher [Remix]-mas,13.4,155,13,20.7097,L,2,tap,,0,1,,1,7,hold,3,1.5,3,hold:1>None,1
113-Urban Crusher [Remix]-mas,13.4,155,13,20.9032,L,3,hold,,0,1,,1,2,tap,1,0.5,6,,1
113-Urban Crusher [Remix]-mas,13.4,155,15,23.4194,L,3,tap,,0,1,,1,5,slide,2,1.0,4,hold:2>None,2
113-Urban Crusher [Remix]-mas,13.4,155,15,24.0,R,6,hold,,0,1,,1,5,tap,1,0.5,1,,2
113-Urban Crusher [Remix]-mas,13.4,155,16,25.6452,R,6,tap,,0,1,,1,3,tap,3,1.25,5,,2
113-Urban Crusher [Remix]-mas,13.4,155,38,58.8387,L,2,tap,,0,1,R3(tap),2,8,tap,2,1.0,5,,3
113-Urban Crusher [Remix]-mas,13.4,155,38,59.2258,R,7,tap,,0,2,L6(tap),2,4,tap,3,0.5,8,,3
113-Urban Crusher [Remix]-mas,13.4,155,38,60.0,R,7,tap,,0,1,L6(tap),2,8,tap,1,1.0,1,,3
113-Urban Crusher [Remix]-mas,13.4,155,41,64.0645,R,7,hold,,0,1,,1,3,tap,4,0.5,8,,4
113-Urban Crusher [Remix]-mas,13.4,155,41,64.8387,L,2,hold,,0,1,,1,4,tap,2,0.5,4,,4
113-Urban Crusher [Remix]-mas,13.4,155,42,65.4194,R,6,tap,,0,1,,1,8,tap,2,0.5,5,hold:2>None,4
113-Urban Crusher [Remix]-mas,13.4,155,42,66.1935,L,3,tap,,0,1,,1,4,tap,1,0.5,2,hold:5>None,4
113-Urban Crusher [Remix]-mas,13.4,155,42,66.3871,L,2,tap,,0,1,,1,3,tap,1,0.5,1,hold:5>None,4
113-Urban Crusher [Remix]-mas,13.4,155,45,70.0645,L,3,tap,,0,1,,1,7,slide,4,2.5,7,hold:1>None,4
113-Urban Crusher [Remix]-mas,13.4,155,45,70.6452,R,6,tap,,0,1,,1,1,hold,3,2.5,4,hold:7>None,4
113-Urban Crusher [Remix]-mas,13.4,155,49,76.2581,L,3,tap,,0,1,,1,8,tap,3,3.5,7,hold:1>None,4
113-Urban Crusher [Remix]-mas,13.4,155,49,76.8387,R,6,tap,,0,1,,1,1,hold,3,2.5,4,hold:7>None,4
113-Urban Crusher [Remix]-mas,13.4,155,51,79.3548,L,2,tap,,0,1,,1,5,hold,3,3.5,4,hold:1>None,4
113-Urban Crusher [Remix]-mas,13.4,155,51,80.129,R,7,tap,,0,1,,1,5,tap,2,0.5,8,hold:4>None,4
113-Urban Crusher [Remix]-mas,13.4,155,53,82.4516,L,3,tap,,0,1,,1,7,slide,4,2.5,7,hold:1>None,5
